1000 2000 50
365 565 7897 2
299 365 92784 2
365 432 7783 2
365 632 247514 6
128 460 8695 2
112 358 46262 2
174 293 59414 2
152 391 23973 2
127 263 1802 2
112 298 8617 2
113 230 5379 2
216 294 23094 2
149 396 168709 2
148 630 18736 2
125 536 143756 2
135 536 71482 2
163 536 100748 2
107 537 109945 2
162 387 69473 6
179 373 247 2
138 363 252 18
89 212 11640 2
89 202 13487 2
138 374 57054 30
265 286 42658 1
265 361 245325 3
138 370 4381 16
138 658 61233 2
126 302 3440 2
126 377 33827 6
205 530 65558 4
304 667 267250 4
304 307 206316 2
267 491 580 1
269 497 79197 1
236 329 172370 1
228 667 174595 1
170 396 113011 4
239 411 168414 1
302 667 6722 2
302 380 14111 4
296 304 52269 4
188 211 11067 1
236 307 15156 2
302 307 266650 1
236 341 8053 2
124 267 59132 2
224 336 102824 2
173 366 164692 2
175 396 39943 2
