500 1000 50
101 379 45354 2
130 351 12069 2
254 327 73882 1
175 335 60120 1
185 321 58915 4
152 286 69256 3
137 229 48820 2
116 178 22458 1
65 335 44360 1
103 292 57890 1
202 326 41469 1
125 197 11349 1
116 206 56205 1
99 352 54739 3
317 329 236177 1
184 326 48892 5
62 191 10923 6
62 157 4463 2
189 327 50154 2
87 248 13245 1
71 224 4978 2
201 350 68697 2
136 323 87067 1
51 84 7806 1
105 130 5882 1
205 216 1487 1
59 130 1368 2
128 340 67642 1
152 152 42558 2
125 126 50649 1
130 344 13135 1
100 279 26508 2
115 208 56549 2
115 125 17480 1
173 322 26704 1
103 212 50151 1
53 206 11976 2
51 201 4900 2
84 84 3734 6
58 255 8516 2
52 245 21540 2
124 425 8082 1
59 265 9285 2
57 241 6942 2
120 179 16733 1
122 151 23493 6
127 210 3521 1
127 195 55907 1
118 297 8838 1
118 312 11722 1
