ID,WIDTH,HEIGHT,PROFIT
0,572,665,380380
1,482,640,308480
2,264,594,156816
3,349,566,197534
4,276,660,182160
5,745,422,314390
6,434,622,269948
7,446,433,193118
8,668,506,338008
9,405,635,257175
10,486,320,155520
11,554,549,304146
12,392,491,192472
13,459,528,242352
14,426,579,246654
15,728,359,261352
16,644,465,299460
17,382,323,123386
18,268,352,94336
19,324,512,165888
20,277,426,118002
21,254,685,173990
22,483,532,256956
23,678,414,280692
24,546,590,322140
25,716,640,458240
26,542,400,216800
27,634,596,377864
28,497,696,345912
29,417,300,125100
30,290,605,175450
31,321,520,166920
32,543,290,157470
33,599,269,161131
34,467,679,317093
35,583,421,245443
36,729,723,527067
37,465,590,274350
38,614,585,359190
39,446,327,145842
40,734,616,452144
41,479,606,290274
42,656,278,182368
43,537,355,190635
44,604,519,313476
45,746,596,444616
46,439,281,123359
47,339,405,137295
48,273,526,143598
49,625,568,355000
