ID,WIDTH,HEIGHT,PROFIT
0,365,185,67525
1,378,200,75600
2,410,165,67650
3,425,148,62900
4,425,296,125800
5,439,116,50924
6,464,1006,466784
7,520,205,106600
8,520,350,182000
9,540,530,286200
10,549,1413,775737
11,549,1882,1033218
12,553,496,274288
13,555,755,419025
14,555,496,275280
15,555,659,365745
16,567,473,268191
17,572,592,338624
18,572,975,557700
19,572,1175,672100
20,572,1575,900900
21,572,1390,795080
22,572,1490,852280
23,572,1590,909480
24,572,1690,966680
25,572,1890,1081080
26,610,625,381250
27,660,490,323400
28,690,447,308430
29,949,445,422305
30,949,478,453622
31,970,463,449110
