ID,WIDTH,HEIGHT,PROFIT
0,139,103,14317
1,166,99,16434
2,88,74,6512
3,174,139,24186
4,128,109,13952
5,175,179,31325
6,62,82,5084
7,178,87,15486
8,121,77,9317
9,125,97,12125
10,73,84,6132
11,69,97,6693
12,122,159,19398
13,66,69,4554
14,111,118,13098
15,165,86,14190
16,71,83,5893
17,163,162,26406
18,67,132,8844
19,121,152,18392
20,68,150,10200
21,138,124,17112
22,141,105,14805
23,183,122,22326
24,171,63,10773
25,101,64,6464
26,103,95,9785
27,110,107,11770
28,184,158,29072
29,85,97,8245
30,86,92,7912
31,127,155,19685
32,92,147,13524
33,106,97,10282
34,177,108,19116
35,164,150,24600
36,68,84,5712
37,62,151,9362
38,123,134,16482
39,158,178,28124
40,70,140,9800
41,173,117,20241
42,147,136,19992
43,141,145,20445
44,84,164,13776
45,144,141,20304
46,92,103,9476
47,156,98,15288
48,160,111,17760
49,127,131,16637
