ID,WIDTH,HEIGHT,PROFIT
0,277,242,67034
1,233,177,41241
2,182,216,39312
3,147,134,19698
4,213,127,27051
5,315,212,66780
6,261,175,45675
7,210,281,59010
8,243,256,62208
9,159,314,49926
10,217,147,31899
11,260,349,90740
12,222,199,44178
13,296,127,37592
14,263,302,79426
15,226,250,56500
16,264,344,90816
17,237,179,42423
18,245,137,33565
19,137,328,44936
20,321,154,49434
21,200,174,34800
22,270,128,34560
23,299,179,53521
24,165,370,61050
25,198,182,36036
26,155,295,45725
27,278,219,60882
28,184,155,28520
29,187,270,50490
30,208,293,60944
31,261,204,53244
32,344,168,57792
33,213,135,28755
34,362,162,58644
35,362,374,135388
36,237,322,76314
37,281,308,86548
38,155,344,53320
39,210,163,34230
40,325,225,73125
41,360,225,81000
42,346,347,120062
43,131,144,18864
44,284,284,80656
45,262,228,59736
46,146,178,25988
47,254,164,41656
48,332,238,79016
49,313,304,95152
