ID,WIDTH,HEIGHT,PROFIT
0,541,745,403045
1,344,301,103544
2,413,294,121422
3,266,341,90706
4,543,388,210684
5,367,701,257267
6,526,707,371882
7,286,706,201916
8,614,289,177446
9,348,592,206016
10,673,431,290063
11,475,362,171950
12,562,439,246718
13,530,638,338140
14,609,375,228375
15,540,274,147960
16,486,634,308124
17,272,377,102544
18,623,306,190638
19,266,714,189924
20,341,336,114576
21,340,296,100640
22,531,479,254349
23,571,589,336319
24,674,496,334304
25,560,497,278320
26,509,389,198001
27,650,332,215800
28,474,285,135090
29,419,503,210757
