ID,WIDTH,HEIGHT,GROUP
0,139,174,0
1,86,165,1
2,179,175,2
3,74,88,3
4,162,163,4
5,97,125,5
6,64,101,6
7,69,66,7
8,97,69,8
9,122,183,9
10,178,158,10
11,141,144,11
12,111,160,12
13,140,70,13
14,158,184,14
15,95,103,15
16,147,92,16
17,134,123,17
18,105,141,18
19,98,156,19
20,103,139,20
21,150,68,21
22,159,122,22
23,152,121,23
24,97,85,24
25,84,73,25
26,118,111,26
27,136,147,27
28,108,177,28
29,164,84,29
30,155,127,30
31,103,92,31
32,63,171,32
33,132,67,33
34,83,71,34
35,92,86,35
36,99,166,36
37,131,127,37
38,145,141,38
39,150,164,39
40,77,121,40
41,107,110,41
42,124,138,42
43,87,178,43
44,82,62,44
45,109,128,45
46,97,106,46
47,151,62,47
48,117,173,48
49,84,68,49
