        50       100       100
      2100        50        42         1
      1911        49        39         1
      2820        60        47         1
      4899        71        69         1
      1596        42        38         1
      2750        50        55         1
      2401        49        49         1
      3038        49        62         1
      2304        64        36         1
      1075        25        43         1
      3304        56        59         1
      2881        67        43         1
       725        29        25         1
      2100        60        35         1
      3828        66        58         1
      1932        42        46         1
      3480        60        58         1
      3120        48        65         1
      2795        65        43         1
      1344        42        32         1
      1927        47        41         1
      3591        57        63         1
      2412        36        67         1
      3021        53        57         1
       837        27        31         1
      1625        65        25         1
      4480        64        70         1
      3618        54        67         1
       925        25        37         1
      3355        61        55         1
      4968        72        69         1
      4736        64        74         1
      4672        64        73         1
      2695        55        49         1
      2448        48        51         1
      2970        54        55         1
      2046        33        62         1
      2640        66        40         1
      4288        64        67         1
      2660        70        38         1
      1656        36        46         1
      2318        61        38         1
      1216        38        32         1
      1350        25        54         1
      1887        37        51         1
      2516        74        34         1
       775        31        25         1
      1680        60        28         1
      1950        39        50         1
      1040        26        40         1
