        50       100       100
      1830        61        30         1
      2065        35        59         1
       780        30        26         1
      3078        57        54         1
      2640        66        40         1
       800        25        32         1
      3150        45        70         1
      1428        51        28         1
      1200        40        30         1
      5041        71        71         1
      2420        55        44         1
      2040        60        34         1
      2448        34        72         1
      3552        74        48         1
      2652        51        52         1
       936        26        36         1
      3584        56        64         1
       729        27        27         1
      1740        60        29         1
      1872        26        72         1
      2173        53        41         1
      3360        60        56         1
      3348        62        54         1
      3330        74        45         1
      1184        32        37         1
      1482        38        39         1
      1204        43        28         1
      2450        50        49         1
      1188        27        44         1
      1260        35        36         1
      2240        40        56         1
      2680        40        67         1
      1598        47        34         1
      2622        69        38         1
      1988        28        71         1
      1938        38        51         1
      1924        74        26         1
      3672        51        72         1
      3600        50        72         1
      2016        72        28         1
      2745        45        61         1
      2145        55        39         1
      1792        28        64         1
      1404        39        36         1
       841        29        29         1
      3174        46        69         1
      1134        27        42         1
      2016        56        36         1
      1932        42        46         1
      2144        32        67         1
