        40       100       100
       702        27        26         1
       799        47        17         1
      1104        23        48         1
       360        36        10         1
       990        30        33         1
      1170        39        30         1
       372        31        12         1
      1128        47        24         1
       714        34        21         1
      1872        39        48         1
       504        12        42         1
       372        12        31         1
      1254        33        38         1
       286        13        22         1
       962        26        37         1
       522        29        18         1
      1295        35        37         1
       440        40        11         1
       448        28        16         1
       360        12        30         1
      1271        31        41         1
       288        12        24         1
       345        15        23         1
      1978        43        46         1
      1804        41        44         1
       861        21        41         1
       735        21        35         1
       912        19        48         1
       572        26        22         1
       608        38        16         1
       414        18        23         1
       525        25        21         1
      1221        37        33         1
      1225        49        25         1
      1421        49        29         1
       260        10        26         1
      1368        36        38         1
      1404        39        36         1
      1056        32        33         1
      1035        23        45         1
