ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,88,54,39,1,1,0,0,1,1,1
1,94,54,36,1,1,0,0,1,1,1
2,87,77,43,1,1,0,0,1,1,1
3,100,80,72,1,1,1,1,1,1,2
4,83,40,36,1,1,0,0,1,1,5
5,91,54,22,1,1,0,0,0,0,2
6,109,58,54,1,1,0,0,1,1,1
7,94,55,30,1,1,0,0,1,1,2
8,34,32,31,1,1,1,1,1,1,1
9,83,80,57,1,1,1,1,1,1,2
10,108,40,26,1,1,0,0,1,1,2
11,72,37,32,1,1,0,0,1,1,2
12,93,93,28,1,1,0,0,0,0,2
13,71,56,33,1,1,0,0,1,1,3
14,104,78,26,1,1,0,0,0,0,2
15,94,85,44,1,1,0,0,1,1,2
16,82,75,65,1,1,1,1,1,1,2
17,109,81,28,1,1,0,0,0,0,2
18,79,73,45,1,1,1,1,1,1,3
19,104,91,76,1,1,1,1,1,1,4
20,56,48,45,1,1,1,1,1,1,2
21,67,55,52,1,1,1,1,1,1,2
22,72,69,59,1,1,1,1,1,1,1
23,103,58,29,1,1,0,0,0,0,2
24,61,41,25,1,1,0,0,1,1,4
25,63,39,26,1,1,0,0,1,1,1
26,88,58,41,1,1,0,0,1,1,3
27,87,70,39,1,1,0,0,1,1,1
28,61,42,21,1,1,0,0,0,0,2
29,66,47,35,1,1,1,1,1,1,2
30,103,79,37,1,1,0,0,0,0,2
31,62,61,57,1,1,1,1,1,1,1
32,57,55,30,1,1,1,1,1,1,1
33,64,45,41,1,1,1,1,1,1,3
34,92,47,45,1,1,0,0,1,1,4
35,95,70,44,1,1,0,0,1,1,1
36,43,30,28,1,1,1,1,1,1,1
37,79,61,34,1,1,0,0,1,1,1
38,103,71,25,1,1,0,0,0,0,1
39,116,45,37,1,1,0,0,1,1,3
40,96,63,42,1,1,0,0,1,1,2
41,106,66,61,1,1,1,1,1,1,1
42,59,40,31,1,1,1,1,1,1,2
43,85,79,52,1,1,1,1,1,1,3
44,116,46,34,1,1,0,0,1,1,2
45,64,56,48,1,1,1,1,1,1,1
46,70,63,40,1,1,1,1,1,1,1
47,105,37,35,1,1,0,0,1,1,3
48,94,85,50,1,1,1,1,1,1,1
49,94,52,45,1,1,0,0,1,1,3
50,66,64,43,1,1,1,1,1,1,1
51,55,54,26,1,1,0,0,0,0,2
52,76,44,36,1,1,0,0,1,1,1
53,79,64,57,1,1,1,1,1,1,1
54,106,68,41,1,1,0,0,1,1,2
55,110,75,66,1,1,1,1,1,1,3
56,119,91,64,1,1,1,1,1,1,1
57,62,59,51,1,1,1,1,1,1,1
58,45,44,28,1,1,1,1,1,1,2
59,70,43,41,1,1,1,1,1,1,3
60,106,62,49,1,1,0,0,1,1,2
61,95,67,36,1,1,0,0,1,1,1
62,90,61,23,1,1,0,0,0,0,1
63,83,52,49,1,1,1,1,1,1,1
64,88,67,26,1,1,0,0,0,0,2
65,118,68,25,1,1,0,0,0,0,4
66,98,78,56,1,1,1,1,1,1,1
67,98,95,27,1,1,0,0,0,0,1
68,84,80,75,1,1,1,1,1,1,1
69,57,48,45,1,1,1,1,1,1,3
