ID,X,Y,Z,ROTATIONS,COPIES
0,100,94,28,3,1
1,81,78,66,63,4
2,111,49,21,3,2
3,119,63,37,51,2
4,72,50,30,51,3
5,58,58,40,63,1
6,108,55,29,51,3
7,54,49,38,63,1
8,69,46,44,63,1
9,88,71,61,63,1
10,83,58,35,51,3
11,108,77,37,3,6
12,108,62,57,63,1
13,73,61,31,51,1
14,92,46,43,51,1
15,62,53,51,63,1
16,79,69,20,3,1
17,74,39,38,63,2
18,92,70,28,3,1
19,78,73,61,63,1
20,105,70,26,3,4
21,60,35,20,51,2
22,91,60,45,51,1
23,105,47,36,51,1
24,92,62,39,51,3
25,43,37,35,63,2
26,78,67,56,63,2
27,93,61,34,51,4
28,94,54,45,51,3
29,97,35,34,51,2
30,59,48,40,63,2
31,115,78,32,3,3
32,76,60,46,63,2
33,101,73,27,3,2
34,99,85,60,63,1
35,83,62,55,63,1
36,93,38,27,51,1
37,119,79,28,3,2
38,46,39,33,63,3
39,82,80,76,63,1
40,58,43,22,51,1
41,82,72,39,51,5
42,82,36,33,51,1
43,68,54,50,63,1
44,92,66,28,3,1
45,64,33,33,63,2
46,49,36,31,63,2
47,58,46,24,51,4
48,107,45,23,51,2
49,76,67,31,3,1
50,83,78,78,63,2
51,78,49,44,63,4
52,120,70,44,51,2
53,79,53,40,63,1
54,94,67,60,63,2
55,87,82,48,63,1
56,98,56,41,51,3
57,107,74,38,51,2
58,66,62,25,3,2
59,97,61,42,51,1
60,47,45,43,63,3
61,83,78,50,63,1
62,66,63,46,63,3
63,93,76,54,63,1
64,93,47,42,51,1
65,80,78,36,3,3
66,72,53,32,51,2
67,79,72,36,3,2
68,109,100,51,51,2
69,107,77,25,3,6
