ID,X,Y,Z,ROTATIONS,COPIES
0,43,40,39,63,3
1,97,76,40,51,1
2,67,63,47,63,3
3,98,57,38,51,2
4,73,71,27,3,2
5,66,56,41,63,4
6,82,75,72,63,2
7,93,71,43,51,1
8,95,35,28,51,1
9,88,72,68,63,2
10,88,85,35,3,1
11,100,83,69,63,1
12,74,30,27,51,1
13,82,64,61,63,5
14,63,38,32,63,1
15,108,97,70,63,1
16,87,72,53,63,3
17,107,75,24,3,1
18,101,31,30,51,2
19,86,56,23,3,2
20,90,36,33,51,3
21,70,60,34,51,2
22,76,66,51,63,2
23,75,52,33,51,2
24,103,64,29,3,2
25,108,90,36,3,2
26,77,45,28,51,2
27,96,75,66,63,1
28,63,38,29,51,2
29,107,85,31,3,1
30,106,57,33,51,2
31,72,69,50,63,3
32,116,83,24,3,2
33,94,52,34,51,1
34,96,65,33,51,1
35,76,72,66,63,1
36,64,60,35,63,2
37,44,38,26,63,1
38,86,63,52,63,2
39,107,55,44,51,2
40,65,40,34,63,1
41,96,59,31,51,2
42,53,34,34,63,2
43,94,91,49,63,3
44,94,73,44,51,4
45,106,56,27,3,1
46,101,91,66,63,1
47,83,33,21,51,2
48,100,73,33,3,1
49,86,78,68,63,1
50,71,58,30,51,2
51,107,77,70,63,4
52,89,58,53,63,2
53,111,81,77,63,2
54,99,51,50,63,1
55,98,93,52,63,3
56,79,70,32,3,2
57,110,47,41,51,2
58,119,61,27,3,3
59,116,81,40,3,3
