ID,X,Y,Z,ROTATIONS,COPIES
0,65,51,50,63,1
1,113,78,28,3,1
2,120,35,32,51,1
3,71,53,20,3,1
4,94,70,64,63,1
5,64,33,32,51,1
6,71,35,21,51,1
7,85,59,49,63,1
8,108,62,53,51,1
9,116,56,25,3,1
10,75,69,35,51,1
11,114,85,53,51,1
12,55,35,20,51,1
13,89,72,66,63,1
14,92,62,47,63,1
15,103,99,42,3,2
16,66,55,32,51,1
17,93,62,39,51,2
18,86,64,50,63,1
19,75,71,68,63,2
20,96,78,40,51,1
21,88,59,20,3,1
22,118,51,32,51,1
23,77,65,44,63,1
24,78,56,49,63,1
25,107,96,80,63,2
26,116,89,33,3,2
27,73,51,40,63,2
28,95,65,22,3,2
29,104,68,47,51,2
30,77,69,34,3,1
31,68,46,35,63,1
32,105,94,47,3,2
33,91,63,36,51,1
34,119,99,66,63,2
35,108,35,21,51,2
36,68,68,50,63,1
37,86,65,64,63,1
38,98,72,59,63,1
39,54,41,38,63,1
40,85,78,47,63,2
41,49,49,30,63,1
42,60,60,32,63,1
43,73,72,30,3,1
44,62,55,29,51,1
45,94,57,47,51,2
46,104,42,30,51,2
47,68,54,45,63,1
48,105,47,30,51,1
49,111,62,24,3,1
50,98,30,26,51,2
51,91,80,57,63,2
52,79,78,22,3,1
53,117,69,33,3,2
54,82,62,53,63,1
55,120,35,31,51,2
56,81,53,23,3,3
57,49,44,36,63,1
58,106,80,75,63,2
59,105,68,20,3,1
60,80,51,51,63,1
61,116,66,53,51,1
62,109,96,74,63,2
63,95,64,51,63,1
64,87,74,68,63,2
65,94,82,34,3,3
66,99,97,61,63,1
67,55,44,30,63,2
68,110,47,42,51,2
69,74,73,49,63,2
70,43,42,25,63,3
71,74,35,28,51,2
72,95,66,28,3,2
73,88,52,41,51,2
74,75,60,52,63,2
75,76,69,59,63,1
76,71,64,59,63,1
77,72,47,39,63,1
78,89,66,36,51,2
79,45,38,25,63,1
