ID,X,Y,Z,ROTATIONS,COPIES
0,89,78,50,63,1
1,73,65,46,63,1
2,94,66,39,51,1
3,66,59,42,63,1
4,106,93,70,63,1
5,80,71,62,63,1
6,60,36,26,51,2
7,72,31,31,51,1
8,63,63,31,3,1
9,74,39,23,51,1
10,105,72,52,51,1
11,101,76,45,51,1
12,93,73,65,63,2
13,74,47,42,63,1
14,72,33,28,51,1
15,99,91,45,3,1
16,79,60,44,63,1
17,81,57,50,63,1
18,99,72,61,63,1
19,38,35,31,63,1
20,74,51,48,63,2
21,98,96,40,3,1
22,70,46,38,63,1
23,65,51,44,63,1
24,69,59,26,3,1
25,83,70,51,63,1
26,56,48,23,3,2
27,73,66,47,63,2
28,74,54,33,51,1
29,98,54,46,51,2
30,53,50,38,63,1
31,87,71,50,63,1
32,70,66,65,63,2
33,102,51,50,51,2
34,73,66,60,63,2
35,86,65,50,63,1
36,83,71,44,63,1
37,107,86,79,63,1
38,78,74,36,3,1
39,102,85,26,3,2
40,77,58,52,63,3
41,69,58,42,63,1
42,110,93,53,51,2
43,99,64,32,3,3
44,72,66,35,51,1
45,63,39,23,51,1
46,99,35,31,51,1
47,93,73,54,63,1
48,76,75,59,63,1
49,77,64,59,63,1
50,94,61,33,51,2
51,103,78,72,63,1
52,80,69,27,3,1
53,59,40,37,63,1
54,78,48,29,51,1
55,117,81,56,51,1
56,93,76,61,63,1
57,74,54,42,63,1
58,118,46,38,51,1
59,86,71,57,63,1
60,119,71,29,3,3
61,82,62,25,3,3
62,91,75,63,63,1
63,48,37,28,63,2
64,80,50,36,51,3
65,103,58,40,51,1
66,86,43,42,51,1
67,110,62,27,3,2
68,57,53,28,51,1
69,76,55,51,63,1
70,117,46,31,51,1
71,111,49,33,51,1
72,73,69,59,63,1
73,106,34,29,51,1
74,89,62,46,63,1
75,61,53,50,63,2
76,119,74,58,51,1
77,106,58,45,51,1
78,94,58,54,63,1
79,79,32,30,51,1
80,66,61,39,63,1
81,107,84,75,63,3
82,97,76,72,63,2
83,67,33,24,51,1
84,66,57,42,63,2
85,99,43,42,51,2
86,72,72,55,63,1
87,55,43,39,63,1
88,110,68,21,3,1
89,98,94,22,3,3
