ID,X,Y,Z,ROTATIONS,COPIES
0,64,42,26,51,1
1,92,58,52,63,2
2,92,85,21,3,1
3,90,49,33,51,1
4,54,48,34,63,2
5,95,62,45,51,1
6,72,49,46,63,1
7,56,42,25,51,2
8,64,34,26,51,1
9,113,90,54,51,2
10,113,52,42,51,1
11,94,86,38,3,1
12,81,80,68,63,1
13,87,79,55,63,1
14,81,52,45,63,2
15,113,32,24,51,1
16,92,57,25,3,1
17,100,40,33,51,3
18,113,93,40,3,2
19,74,65,22,3,1
20,100,96,72,63,2
21,119,34,32,51,1
22,61,58,41,63,1
23,91,47,39,51,1
24,97,37,28,51,2
25,75,54,49,63,2
26,89,62,47,63,3
27,118,29,26,51,1
28,94,78,55,63,1
29,114,50,41,51,1
30,83,75,54,63,3
31,65,51,37,63,1
32,61,48,39,63,1
33,80,73,25,3,2
34,66,53,25,3,1
35,95,86,73,63,1
36,95,31,31,51,1
37,102,65,25,3,1
38,64,63,52,63,1
39,75,57,42,63,1
40,119,76,45,51,2
41,80,60,38,51,1
42,118,73,64,63,1
43,84,65,55,63,1
44,110,60,39,51,1
45,119,99,38,3,1
46,102,100,20,3,2
47,102,26,25,51,1
48,100,55,45,51,2
49,89,84,43,51,1
50,96,30,28,51,1
51,107,70,40,51,1
52,87,66,52,63,2
53,66,43,28,51,3
54,86,68,21,3,1
55,72,52,44,63,1
56,91,44,38,51,2
57,89,65,56,63,2
58,45,43,26,63,2
59,81,59,32,51,1
60,77,59,24,3,1
61,80,78,62,63,2
62,102,84,78,63,1
63,117,62,57,51,1
64,69,60,25,3,1
65,98,47,36,51,1
66,79,72,25,3,1
67,72,70,48,63,1
68,107,48,34,51,1
69,88,33,28,51,2
70,100,84,21,3,1
71,60,60,58,63,1
72,85,51,43,63,1
73,114,70,42,51,2
74,108,65,20,3,1
75,79,56,24,3,1
76,66,65,34,63,1
77,103,58,38,51,2
78,109,76,21,3,1
79,77,50,32,51,1
80,98,28,28,51,2
81,77,41,23,51,1
82,114,73,33,3,1
83,113,51,34,51,1
84,46,36,20,51,1
85,84,81,58,63,1
86,94,71,41,51,1
87,114,67,36,51,1
88,115,70,57,51,1
89,80,58,38,51,2
90,56,53,46,63,1
91,62,51,22,3,2
92,96,74,44,51,1
93,63,51,39,63,1
94,97,92,40,3,1
95,84,73,43,63,1
96,105,81,45,51,2
97,40,37,25,63,1
98,52,50,38,63,1
99,87,71,30,3,1
