ID,X,Y,Z,ROTATIONS,COPIES
0,113,80,29,3,1
1,98,65,62,63,1
2,60,59,46,63,1
3,100,97,64,63,2
4,99,88,23,3,2
5,106,49,33,51,2
6,78,54,30,51,1
7,71,68,41,63,2
8,83,80,35,3,2
9,99,55,27,3,2
10,91,51,43,51,1
11,99,78,72,63,3
12,102,88,37,3,2
13,97,75,72,63,1
14,83,63,27,3,1
15,78,38,36,51,1
16,120,88,55,51,3
17,77,72,38,51,1
18,45,38,25,63,3
19,73,48,23,3,1
20,87,73,38,51,1
21,94,75,33,3,1
22,71,64,56,63,2
23,94,69,48,63,2
24,75,66,46,63,1
25,89,75,56,63,1
26,62,38,34,63,1
27,81,71,52,63,2
28,88,79,53,63,1
29,51,44,35,63,1
30,92,83,80,63,2
31,70,68,41,63,2
32,109,58,40,51,2
33,75,56,30,51,2
34,77,66,58,63,1
35,62,32,23,51,2
36,90,39,23,51,1
37,99,71,56,63,1
38,108,75,71,63,1
39,101,99,57,63,1
40,90,88,20,3,2
41,70,66,42,63,2
42,106,80,55,63,1
43,100,69,42,51,2
44,87,83,51,63,1
45,108,91,22,3,1
46,80,77,74,63,1
47,113,70,70,63,1
48,65,46,35,63,2
49,87,35,26,51,2
50,82,55,24,3,3
51,71,47,37,63,3
52,107,100,58,63,2
53,77,48,43,63,1
54,118,81,42,51,1
55,57,51,32,63,3
56,118,98,70,63,1
57,96,62,58,63,2
58,57,42,41,63,1
59,88,37,21,51,1
60,86,51,34,51,2
61,75,52,38,63,1
62,116,67,29,3,2
63,88,64,42,51,1
64,119,51,41,51,2
65,91,76,51,63,2
66,104,71,64,63,2
67,58,47,27,51,2
68,62,44,36,63,2
69,83,77,65,63,2
