ID,X,Y,Z,ROTATIONS,COPIES
0,64,42,26,51,3
1,92,58,52,63,2
2,92,85,21,3,2
3,90,49,33,51,2
4,54,48,34,63,3
5,95,62,45,51,2
6,72,49,46,63,1
7,56,42,25,51,2
8,64,34,26,51,2
9,113,90,54,51,5
10,113,52,42,51,3
11,94,86,38,3,1
12,81,80,68,63,3
13,87,79,55,63,1
14,81,52,45,63,2
15,113,32,24,51,2
16,92,57,25,3,2
17,100,40,33,51,1
18,113,93,40,3,2
19,74,65,22,3,2
20,100,96,72,63,1
21,119,34,32,51,2
22,61,58,41,63,1
23,91,47,39,51,2
24,97,37,28,51,1
25,75,54,49,63,1
26,89,62,47,63,2
27,118,29,26,51,2
28,94,78,55,63,1
29,114,50,41,51,3
30,83,75,54,63,4
31,65,51,37,63,1
32,61,48,39,63,1
33,80,73,25,3,1
34,66,53,25,3,1
35,95,86,73,63,1
36,95,31,31,51,3
37,102,65,25,3,2
38,64,63,52,63,2
39,75,57,42,63,1
40,119,76,45,51,1
41,80,60,38,51,3
42,118,73,64,63,2
43,84,65,55,63,3
44,110,60,39,51,1
45,119,99,38,3,1
46,102,100,20,3,2
47,102,26,25,51,2
48,100,55,45,51,3
49,89,84,43,51,1
50,96,30,28,51,1
51,107,70,40,51,2
52,87,66,52,63,3
53,66,43,28,51,1
54,86,68,21,3,2
55,72,52,44,63,2
56,91,44,38,51,2
57,89,65,56,63,2
58,45,43,26,63,1
59,81,59,32,51,2
60,77,59,24,3,3
61,80,78,62,63,2
62,102,84,78,63,1
63,117,62,57,51,1
64,69,60,25,3,4
65,98,47,36,51,4
66,79,72,25,3,1
67,72,70,48,63,1
68,107,48,34,51,1
69,88,33,28,51,3
