ID,X,Y,Z,ROTATIONS,COPIES
0,70,63,49,63,2
1,84,54,49,63,1
2,89,70,42,51,1
3,80,48,39,51,1
4,114,47,42,51,1
5,92,62,34,51,1
6,72,66,43,63,1
7,120,55,46,51,1
8,106,62,25,3,2
9,72,53,34,51,1
10,74,44,35,51,1
11,103,71,28,3,1
12,115,35,31,51,2
13,117,62,39,51,1
14,60,32,32,63,2
15,86,80,39,3,1
16,71,70,42,63,1
17,87,58,32,51,1
18,97,44,29,51,2
19,95,61,30,3,1
20,70,41,30,51,1
21,81,45,40,51,1
22,119,76,68,63,1
23,61,55,54,63,2
24,85,52,40,51,1
25,46,43,40,63,1
26,94,76,34,3,1
27,110,70,59,63,2
28,46,33,27,63,2
29,83,40,37,51,1
30,102,48,22,3,1
31,116,80,38,3,2
32,81,65,51,63,3
33,79,69,37,51,1
34,85,41,21,51,1
35,80,71,49,63,1
36,66,65,36,63,1
37,118,71,64,63,1
38,91,65,42,51,1
39,95,74,70,63,1
40,79,47,34,51,1
41,75,67,61,63,1
42,89,76,21,3,3
43,56,33,30,63,2
44,114,71,61,63,1
45,120,48,36,51,2
46,118,74,69,63,1
47,91,86,60,63,2
48,89,77,26,3,1
49,76,44,37,51,1
50,99,56,45,51,1
51,96,48,37,51,2
52,72,66,55,63,2
53,64,62,45,63,1
54,74,46,27,51,1
55,99,62,32,51,2
56,76,50,46,63,1
57,78,72,60,63,1
58,93,70,24,3,4
59,95,59,58,63,1
60,99,51,40,51,1
61,81,64,26,3,1
62,112,99,39,3,2
63,68,36,34,51,1
64,119,48,45,51,2
65,92,58,47,63,1
66,58,50,45,63,2
67,102,48,29,51,1
68,88,67,59,63,2
69,92,44,26,51,2
70,68,65,46,63,4
71,82,52,39,51,2
72,61,51,45,63,1
73,103,52,35,51,1
74,83,65,48,63,4
75,92,76,59,63,1
76,89,79,42,51,2
77,84,44,41,51,2
78,86,67,61,63,1
79,102,76,63,63,2
80,110,50,40,51,1
81,72,71,28,3,1
82,94,60,59,63,1
83,75,47,35,51,1
84,100,79,75,63,1
85,78,64,55,63,2
86,69,68,51,63,2
87,110,73,33,3,2
88,106,40,32,51,2
89,79,46,39,51,1
