ID,X,Y,Z,ROTATIONS,COPIES
0,87,45,32,51,2
1,84,63,46,63,4
2,84,67,44,63,1
3,76,55,30,51,2
4,87,78,61,63,2
5,115,77,53,51,3
6,78,72,51,63,1
7,93,91,62,63,2
8,48,41,40,63,3
9,92,82,53,63,1
10,102,69,54,63,3
11,80,52,34,51,3
12,90,71,60,63,2
13,66,43,42,63,1
14,73,58,52,63,2
15,66,66,26,3,2
16,91,40,28,51,2
17,72,34,33,51,1
18,120,98,74,63,1
19,68,56,43,63,1
20,84,68,57,63,2
21,90,78,74,63,1
22,98,67,25,3,2
23,81,41,35,51,1
24,85,44,42,51,1
25,100,83,40,3,3
26,104,34,27,51,1
27,37,30,25,63,3
28,115,98,63,63,2
29,66,54,30,51,4
30,62,36,26,51,2
31,67,39,39,63,2
32,119,39,27,51,2
33,95,40,20,3,1
34,88,85,80,63,1
35,84,63,57,63,2
36,110,74,32,3,1
37,73,33,26,51,1
38,98,93,20,3,1
39,81,67,37,51,1
40,63,45,30,51,2
41,69,35,26,51,2
42,98,30,28,51,1
43,80,59,51,63,1
44,70,44,25,51,2
45,91,64,57,63,2
46,75,67,58,63,2
47,95,76,69,63,3
48,59,46,32,63,1
49,111,91,29,3,1
50,83,49,32,51,1
51,60,39,39,63,1
52,61,42,24,51,2
53,76,71,31,3,1
54,99,71,38,51,1
55,70,39,24,51,1
56,70,49,44,63,1
57,65,64,26,3,2
58,59,49,45,63,2
59,80,58,52,63,1
60,87,79,74,63,2
61,107,78,40,51,2
62,92,79,67,63,2
63,108,80,67,63,1
64,120,82,72,63,1
65,102,91,29,3,1
66,76,65,52,63,4
67,100,55,39,51,3
68,39,38,35,63,1
69,93,77,33,3,3
