ID,X,Y,Z,ROTATIONS,COPIES
0,97,81,27,3,1
1,102,78,39,3,1
2,113,46,36,51,1
3,66,50,42,63,1
4,101,30,26,51,1
5,100,56,35,51,1
6,91,50,40,51,2
7,106,61,56,63,1
8,103,63,58,63,2
9,75,57,41,63,1
10,71,68,64,63,2
11,85,67,39,51,2
12,97,63,56,63,2
13,61,48,30,51,2
14,80,54,35,51,3
15,73,66,62,63,2
16,90,74,69,63,2
17,118,61,40,51,1
18,94,43,31,51,1
19,90,49,30,51,1
20,61,43,20,3,1
21,74,73,59,63,1
22,58,53,51,63,1
23,100,62,53,63,1
24,64,46,45,63,1
25,83,71,34,3,1
26,80,51,34,51,1
27,71,60,46,63,1
28,113,56,46,51,1
29,110,76,31,3,1
30,71,61,35,51,1
31,87,82,41,3,1
32,105,85,37,3,1
33,92,66,36,51,1
34,100,47,36,51,1
35,99,98,37,3,2
36,97,79,49,63,1
37,70,41,33,51,1
38,68,35,28,51,2
39,118,67,32,3,2
40,117,65,38,51,1
41,82,54,28,51,1
42,74,69,64,63,1
43,83,69,47,63,1
44,95,74,55,63,1
45,70,65,28,3,1
46,86,51,31,51,1
47,95,85,40,3,1
48,98,29,29,51,1
49,120,69,68,63,1
50,103,51,44,51,2
51,87,78,67,63,1
52,81,75,48,63,1
53,74,57,39,63,1
54,66,34,28,51,1
55,104,95,74,63,2
56,87,70,61,63,1
57,111,75,30,3,1
58,106,40,33,51,1
59,68,61,33,51,1
60,83,47,45,63,1
61,70,54,49,63,2
62,48,36,31,63,2
63,99,54,25,3,2
64,119,97,72,63,1
65,39,32,31,63,1
66,85,57,36,51,2
67,97,67,30,3,1
68,93,74,66,63,1
69,108,59,31,51,3
70,76,70,27,3,1
71,71,49,32,51,3
72,96,81,60,63,1
73,92,51,32,51,1
74,67,43,26,51,2
75,98,73,23,3,1
76,85,66,37,51,1
77,67,63,34,63,1
78,112,66,34,51,1
79,93,36,28,51,2
80,91,78,49,63,1
81,113,51,34,51,1
82,96,91,76,63,1
83,52,49,36,63,1
84,99,66,34,51,1
85,94,83,59,63,2
86,90,66,53,63,1
87,99,64,24,3,1
88,99,93,79,63,1
89,77,62,47,63,1
90,63,49,38,63,1
91,84,56,43,63,1
92,71,40,20,3,2
93,64,62,57,63,1
94,109,72,46,51,1
95,64,51,34,63,1
96,117,54,42,51,1
97,96,75,31,3,1
98,83,59,41,51,1
99,120,36,20,51,1
