ID,X,Y,Z,ROTATIONS,COPIES
0,90,41,34,51,1
1,64,32,28,51,2
2,42,31,31,63,3
3,94,90,44,3,2
4,68,63,53,63,2
5,55,30,21,51,2
6,72,64,31,3,1
7,75,56,34,51,1
8,62,34,31,51,1
9,79,55,32,51,2
10,99,74,27,3,4
11,89,54,48,63,1
12,93,78,32,3,3
13,119,80,59,51,1
14,80,72,42,63,2
15,111,47,27,51,1
16,73,72,49,63,2
17,115,87,32,3,4
18,100,66,61,63,2
19,80,61,23,3,2
20,111,57,52,51,2
21,94,47,33,51,2
22,91,69,55,63,2
23,107,95,80,63,2
24,54,50,29,63,1
25,82,76,33,3,1
26,76,67,62,63,3
27,100,92,20,3,1
28,104,99,58,63,3
29,111,67,29,3,4
30,35,32,23,63,3
31,100,60,27,3,1
32,99,82,73,63,2
33,87,67,63,63,4
34,35,29,28,63,2
35,81,80,72,63,3
36,45,42,33,63,3
37,70,55,26,3,2
38,109,31,27,51,2
39,89,75,65,63,1
40,58,31,24,51,1
41,94,40,25,51,1
42,80,63,30,3,2
43,119,51,26,51,4
44,90,56,26,3,4
45,112,77,63,63,2
46,95,74,56,63,1
47,92,68,23,3,4
48,100,64,39,51,4
49,88,43,25,51,4
50,73,63,51,63,3
51,107,59,32,51,3
52,88,59,55,63,1
53,62,53,43,63,2
54,114,84,67,63,2
55,79,40,35,51,1
56,96,38,35,51,2
57,37,30,23,63,1
58,81,26,23,51,1
59,87,67,43,51,3
