ID,X,Y,Z,ROTATIONS,COPIES
0,49,25,21,51,1
1,60,51,41,63,1
2,103,76,64,63,2
3,95,70,62,63,1
4,111,49,26,51,2
5,85,84,72,63,3
6,48,36,31,63,4
7,86,76,38,3,1
8,71,48,47,63,1
9,90,43,33,51,3
10,98,52,44,51,3
11,73,37,23,51,3
12,61,48,39,63,2
13,75,75,63,63,1
14,74,42,40,63,1
15,98,88,26,3,5
16,97,69,41,51,2
17,89,77,46,63,3
18,73,64,55,63,2
19,84,69,66,63,2
20,38,37,29,63,4
21,61,47,39,63,2
22,57,44,42,63,3
23,98,79,20,3,3
24,83,76,57,63,4
25,75,62,36,51,2
26,60,55,45,63,1
27,79,64,40,63,5
28,103,76,44,51,2
29,96,82,59,63,1
30,86,51,27,51,5
31,103,54,31,51,2
32,83,71,62,63,3
33,106,76,71,63,1
34,78,58,30,51,3
35,79,25,20,51,3
36,97,94,73,63,2
37,91,87,43,3,3
38,97,48,29,51,1
39,119,25,21,51,2
40,54,49,36,63,1
41,86,70,42,51,2
42,88,67,30,3,3
43,109,82,75,63,2
44,88,39,35,51,3
45,91,81,36,3,4
46,103,97,27,3,3
47,75,49,42,63,3
48,105,49,35,51,3
49,109,57,50,51,2
50,71,55,32,51,1
51,91,57,57,63,1
52,80,66,29,3,2
53,71,30,22,51,1
54,93,47,22,3,3
55,72,55,43,63,1
56,73,46,33,51,4
57,90,83,20,3,2
58,91,76,35,3,3
59,71,67,27,3,1
