ID,X,Y,Z,ROTATIONS,COPIES
0,51,46,44,63,1
1,95,92,47,51,2
2,116,39,23,51,1
3,51,37,32,63,2
4,117,44,38,51,2
5,103,89,73,63,2
6,73,55,54,63,2
7,116,98,40,3,3
8,62,48,22,3,3
9,106,38,30,51,4
10,100,40,32,51,1
11,87,53,26,3,1
12,57,35,35,63,1
13,80,75,75,63,2
14,111,88,32,3,4
15,109,42,29,51,1
16,49,35,29,63,1
17,92,65,23,3,1
18,112,32,30,51,1
19,94,90,30,3,2
20,115,80,43,51,2
21,54,41,26,51,2
22,88,43,25,51,2
23,96,66,23,3,2
24,77,75,57,63,3
25,65,36,31,51,2
26,60,56,32,63,4
27,108,52,25,3,2
28,85,78,55,63,3
29,79,65,34,51,3
30,72,35,24,51,4
31,82,60,34,51,6
32,113,33,20,51,3
33,71,42,38,63,3
34,100,80,42,51,2
35,81,62,59,63,1
36,68,49,29,51,1
37,94,46,22,3,3
38,70,48,24,3,1
39,77,40,30,51,2
40,51,47,36,63,1
41,75,40,38,63,2
42,111,93,74,63,1
43,117,86,42,3,2
44,95,94,39,3,2
45,85,67,64,63,2
46,69,66,33,3,1
47,87,41,20,3,2
48,80,56,28,3,4
49,45,38,32,63,2
50,77,38,25,51,1
51,105,71,33,3,2
52,83,67,36,51,1
53,74,70,70,63,2
54,54,42,41,63,1
55,77,46,36,51,2
56,86,83,35,3,3
57,118,65,35,51,1
58,88,69,38,51,3
59,120,84,48,51,2
60,94,61,31,51,1
61,102,61,42,51,2
62,70,66,48,63,4
63,63,39,36,63,2
64,82,50,22,3,3
65,79,67,53,63,1
66,87,82,25,3,1
67,69,65,49,63,2
68,87,87,61,63,1
69,85,77,67,63,2
