ID,X,Y,Z,ROTATIONS,COPIES
0,86,84,45,63,2
1,81,45,34,51,2
2,70,54,37,63,6
3,71,61,52,63,5
4,78,73,40,63,6
5,69,63,46,63,5
6,72,67,56,63,6
7,75,75,36,3,2
8,94,88,50,63,5
9,65,51,50,63,2
10,81,56,46,63,3
11,68,44,27,51,3
12,108,52,45,51,6
13,114,80,44,51,5
14,84,39,22,51,6
15,62,58,30,51,3
16,86,68,33,3,5
17,59,52,22,3,1
18,42,33,21,51,4
19,110,74,38,51,5
20,79,62,28,3,1
21,86,53,33,51,5
22,78,60,20,3,4
23,105,88,29,3,5
24,115,75,29,3,4
25,73,72,59,63,4
26,77,77,36,3,4
27,94,59,36,51,4
28,52,33,30,63,2
29,68,61,60,63,3
30,78,63,20,3,2
31,91,71,42,51,3
32,79,79,58,63,3
33,82,50,35,51,4
34,74,53,43,63,1
35,93,62,26,3,1
36,86,36,31,51,2
37,76,26,26,51,2
38,100,74,58,63,3
39,115,52,22,3,4
