ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,119,41,38,1,1,0,0,1,1,2
1,90,44,35,1,1,0,0,1,1,5
2,67,55,27,1,1,0,0,0,0,2
3,71,47,36,1,1,1,1,1,1,6
4,90,55,51,1,1,1,1,1,1,1
5,87,68,40,1,1,0,0,1,1,4
6,87,53,36,1,1,0,0,1,1,4
7,113,47,34,1,1,0,0,1,1,1
8,97,56,35,1,1,0,0,1,1,3
9,90,60,25,1,1,0,0,0,0,6
10,88,75,70,1,1,1,1,1,1,4
11,111,64,51,1,1,0,0,1,1,5
12,105,77,31,1,1,0,0,0,0,4
13,91,33,29,1,1,0,0,1,1,7
14,53,34,31,1,1,1,1,1,1,8
15,73,40,34,1,1,0,0,1,1,3
16,84,56,44,1,1,1,1,1,1,3
17,113,81,29,1,1,0,0,0,0,3
18,89,53,51,1,1,1,1,1,1,7
19,62,30,26,1,1,0,0,1,1,2
20,99,91,40,1,1,0,0,0,0,4
21,113,88,40,1,1,0,0,0,0,7
22,99,76,34,1,1,0,0,0,0,3
23,74,65,37,1,1,0,0,1,1,9
24,96,73,33,1,1,0,0,0,0,10
25,78,73,71,1,1,1,1,1,1,2
26,99,99,46,1,1,0,0,0,0,6
27,88,57,33,1,1,0,0,1,1,4
28,76,67,34,1,1,0,0,1,1,6
29,80,63,48,1,1,1,1,1,1,5
