ID,X,Y,Z,ROTATIONS,COPIES
0,72,49,35,51,2
1,75,66,47,63,3
2,78,30,22,51,2
3,119,79,79,63,1
4,76,65,62,63,1
5,119,81,65,63,2
6,91,77,36,3,1
7,113,89,27,3,1
8,98,59,44,51,1
9,76,55,43,63,2
10,58,51,31,63,2
11,94,40,25,51,1
12,89,66,43,51,1
13,119,55,50,51,1
14,70,43,34,51,2
15,76,71,56,63,3
16,80,58,40,51,1
17,79,57,46,63,2
18,70,68,61,63,2
19,93,46,39,51,1
20,76,45,42,63,1
21,105,32,26,51,1
22,85,67,60,63,2
23,58,35,23,51,1
24,80,65,52,63,2
25,104,69,62,63,2
26,72,48,34,51,2
27,34,32,27,63,2
28,74,73,51,63,2
29,120,80,64,63,1
30,82,77,41,51,1
31,98,60,56,63,3
32,51,47,30,63,1
33,80,74,42,63,2
34,47,38,34,63,1
35,84,74,28,3,1
36,103,67,41,51,1
37,80,70,48,63,3
38,85,39,34,51,1
39,106,51,40,51,2
40,98,67,56,63,1
41,78,71,65,63,2
42,78,34,31,51,1
43,94,51,21,3,1
44,59,32,30,63,2
45,95,70,57,63,1
46,120,80,30,3,1
47,53,43,20,3,1
48,94,53,28,51,1
49,98,91,26,3,1
50,101,54,44,51,1
51,57,46,27,51,1
52,68,57,43,63,1
53,114,90,51,51,1
54,70,58,40,63,2
55,56,40,22,51,1
56,99,43,29,51,1
57,51,40,39,63,1
58,67,59,43,63,1
59,106,82,45,51,2
60,78,73,62,63,2
61,102,78,68,63,1
62,120,35,35,51,1
63,107,66,30,3,1
64,119,58,34,51,1
65,61,45,43,63,1
66,85,67,21,3,1
67,84,69,25,3,1
68,91,67,66,63,1
69,62,43,31,51,1
70,116,69,67,63,1
71,57,55,20,3,1
72,74,71,22,3,1
73,77,34,33,51,1
74,92,91,36,3,1
75,82,79,50,63,1
76,73,49,40,63,2
77,119,76,25,3,1
78,76,41,20,3,1
79,97,87,21,3,1
80,59,34,33,63,1
81,46,39,22,51,2
82,75,49,38,63,3
83,74,64,48,63,2
84,67,42,41,63,1
85,119,57,48,51,1
86,98,67,41,51,1
87,79,59,48,63,1
88,102,67,55,63,4
89,100,81,78,63,2
