ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,119,34,28,1,1,0,0,1,1,2
1,84,69,48,1,1,1,1,1,1,2
2,97,82,78,1,1,1,1,1,1,6
3,109,43,33,1,1,0,0,1,1,2
4,80,75,47,1,1,1,1,1,1,1
5,74,62,30,1,1,0,0,0,0,1
6,40,35,31,1,1,1,1,1,1,3
7,58,43,26,1,1,0,0,1,1,2
8,111,73,71,1,1,1,1,1,1,1
9,95,66,43,1,1,0,0,1,1,1
10,96,82,28,1,1,0,0,0,0,2
11,84,73,66,1,1,1,1,1,1,2
12,62,42,38,1,1,1,1,1,1,2
13,108,91,58,1,1,1,1,1,1,2
14,96,81,25,1,1,0,0,0,0,4
15,42,35,31,1,1,1,1,1,1,3
16,75,54,30,1,1,0,0,1,1,2
17,117,50,33,1,1,0,0,1,1,2
18,115,68,49,1,1,0,0,1,1,4
19,105,66,60,1,1,1,1,1,1,2
20,50,45,38,1,1,1,1,1,1,1
21,79,50,34,1,1,0,0,1,1,4
22,72,36,35,1,1,0,0,1,1,1
23,74,57,37,1,1,0,0,1,1,2
24,72,66,63,1,1,1,1,1,1,3
25,86,62,29,1,1,0,0,0,0,1
26,91,70,34,1,1,0,0,0,0,3
27,55,35,29,1,1,1,1,1,1,4
28,64,54,25,1,1,0,0,0,0,2
29,97,82,50,1,1,1,1,1,1,4
30,93,73,45,1,1,0,0,1,1,1
31,83,35,25,1,1,0,0,1,1,4
32,60,59,33,1,1,1,1,1,1,1
33,113,45,38,1,1,0,0,1,1,4
34,54,51,30,1,1,1,1,1,1,1
35,110,43,26,1,1,0,0,1,1,1
36,100,66,37,1,1,0,0,1,1,3
37,91,73,48,1,1,1,1,1,1,2
38,65,56,47,1,1,1,1,1,1,2
39,72,50,27,1,1,0,0,1,1,3
40,92,87,27,1,1,0,0,0,0,3
41,110,42,21,1,1,0,0,0,0,2
42,90,48,36,1,1,0,0,1,1,1
43,76,73,54,1,1,1,1,1,1,4
44,61,41,34,1,1,1,1,1,1,1
45,74,50,38,1,1,1,1,1,1,2
46,110,49,43,1,1,0,0,1,1,1
47,104,69,38,1,1,0,0,1,1,1
48,95,71,52,1,1,1,1,1,1,1
49,77,57,48,1,1,1,1,1,1,3
50,91,66,46,1,1,1,1,1,1,1
51,114,70,29,1,1,0,0,0,0,1
52,101,80,68,1,1,1,1,1,1,1
53,40,38,23,1,1,1,1,1,1,1
54,90,70,24,1,1,0,0,0,0,1
55,90,71,69,1,1,1,1,1,1,2
56,106,70,55,1,1,1,1,1,1,2
57,85,49,34,1,1,0,0,1,1,3
58,90,68,47,1,1,1,1,1,1,2
59,72,56,46,1,1,1,1,1,1,2
