ID,X,Y,Z,ROTATIONS,COPIES
0,68,48,31,51,3
1,104,80,63,63,5
2,82,46,21,3,6
3,114,78,60,63,1
4,90,74,66,63,6
5,112,54,36,51,6
6,71,64,54,63,3
7,74,53,33,51,2
8,75,62,57,63,3
9,68,62,52,63,5
10,64,49,47,63,3
11,60,39,36,63,6
12,55,45,35,63,4
13,59,35,31,63,2
14,104,47,34,51,3
15,81,74,38,51,5
16,101,77,45,51,6
17,116,55,36,51,1
18,77,71,47,63,3
19,90,73,38,51,5
20,114,68,27,3,3
21,91,67,38,51,3
22,65,58,33,63,2
23,120,47,32,51,8
24,87,87,51,63,8
25,117,72,31,3,6
26,87,66,50,63,5
27,80,42,35,51,3
28,90,74,43,51,4
29,95,79,27,3,6
