ID,X,Y,Z,ROTATIONS,COPIES
0,98,73,44,51,3
1,60,60,38,63,2
2,105,73,60,63,2
3,90,77,52,63,2
4,66,58,24,3,1
5,106,76,55,63,1
6,55,44,36,63,1
7,82,58,23,3,2
8,74,61,58,63,2
9,81,39,24,51,3
10,71,65,39,63,2
11,105,97,47,3,1
12,114,97,69,63,1
13,103,78,55,63,1
14,93,66,55,63,2
15,78,75,74,63,1
16,118,67,58,51,4
17,91,61,22,3,2
18,96,58,24,3,2
19,80,76,44,63,2
20,80,67,25,3,1
21,71,69,20,3,2
22,81,79,62,63,2
23,72,68,30,3,1
24,49,45,41,63,2
25,112,96,58,63,1
26,71,65,45,63,2
27,91,68,30,3,2
28,94,71,61,63,2
29,52,51,31,63,3
30,46,41,29,63,3
31,116,79,55,51,1
32,45,38,30,63,1
33,78,77,53,63,1
34,76,74,62,63,3
35,92,58,39,51,1
36,56,50,40,63,1
37,96,48,45,51,2
38,103,57,26,3,2
39,90,45,35,51,2
40,96,65,47,51,3
41,44,43,37,63,1
42,75,40,39,63,1
43,71,65,35,51,2
44,86,70,53,63,2
45,53,44,43,63,1
46,82,52,33,51,1
47,60,57,51,63,1
48,79,69,48,63,2
49,53,35,35,63,3
50,72,34,31,51,2
51,91,48,38,51,3
52,72,57,41,63,1
53,80,69,42,63,1
54,102,70,66,63,2
55,117,49,36,51,3
56,90,36,32,51,2
57,95,73,30,3,2
58,70,69,28,3,1
59,91,28,25,51,3
60,109,66,65,63,4
61,113,47,44,51,2
62,95,75,72,63,3
63,63,56,52,63,1
64,97,54,30,51,1
65,101,50,37,51,1
66,89,55,47,63,2
67,96,38,31,51,2
68,88,48,33,51,1
69,94,54,37,51,1
