ID,X,Y,Z,ROTATIONS,COPIES
0,87,33,28,51,4
1,97,70,57,63,6
2,71,57,38,63,7
3,63,53,47,63,5
4,77,56,37,51,5
5,102,67,47,51,2
6,72,31,29,51,7
7,84,58,38,51,3
8,84,57,56,63,5
9,88,76,33,3,6
10,109,76,73,63,5
11,57,55,54,63,4
12,115,26,25,51,6
13,71,50,41,63,4
14,102,59,29,3,3
15,69,67,45,63,9
16,50,46,38,63,3
17,78,76,38,3,5
18,95,55,31,51,6
19,98,83,38,3,5
20,89,67,31,3,6
21,68,51,45,63,6
22,63,35,27,51,4
23,72,53,25,3,3
24,109,78,74,63,5
25,90,58,29,3,3
26,96,50,45,51,5
27,89,70,28,3,3
28,95,73,44,51,1
29,78,68,26,3,9
