ID,X,Y,Z,ROTATIONS,COPIES
0,91,58,57,63,3
1,92,78,53,63,7
2,112,48,28,51,6
3,78,47,26,51,4
4,41,40,28,63,4
5,57,47,32,63,6
6,54,47,40,63,2
7,85,80,25,3,3
8,89,86,54,63,5
9,118,94,68,63,3
10,98,63,36,51,2
11,81,42,38,51,4
12,86,59,39,51,3
13,91,67,40,51,5
14,73,61,41,63,3
15,67,59,57,63,3
16,84,75,33,3,6
17,96,88,70,63,5
18,67,44,30,51,4
19,82,76,64,63,2
20,119,45,43,51,3
21,85,66,47,63,5
22,101,74,49,51,5
23,87,57,50,63,5
24,73,69,63,63,3
25,97,54,38,51,5
26,104,56,37,51,5
27,85,44,30,51,6
28,104,88,20,3,2
29,103,94,32,3,3
