ID,X,Y,Z,ROTATIONS,COPIES
0,91,58,57,63,2
1,92,78,53,63,1
2,112,48,28,51,2
3,78,47,26,51,1
4,41,40,28,63,1
5,57,47,32,63,2
6,54,47,40,63,1
7,85,80,25,3,1
8,89,86,54,63,1
9,118,94,68,63,1
10,98,63,36,51,1
11,81,42,38,51,1
12,86,59,39,51,2
13,91,67,40,51,1
14,73,61,41,63,1
15,67,59,57,63,1
16,84,75,33,3,1
17,96,88,70,63,1
18,67,44,30,51,2
19,82,76,64,63,1
20,119,45,43,51,2
21,85,66,47,63,1
22,101,74,49,51,1
23,87,57,50,63,1
24,73,69,63,63,2
25,97,54,38,51,1
26,104,56,37,51,1
27,85,44,30,51,3
28,104,88,20,3,1
29,103,94,32,3,1
30,79,60,56,63,1
31,60,57,56,63,1
32,80,72,37,51,1
33,96,39,31,51,1
34,92,29,23,51,1
35,53,46,34,63,1
36,71,53,30,51,1
37,94,80,35,3,1
38,68,68,57,63,1
39,97,57,43,51,1
40,92,42,30,51,2
41,63,36,33,63,1
42,94,55,37,51,1
43,114,51,28,51,1
44,93,89,30,3,1
45,84,51,49,63,1
46,96,79,20,3,1
47,72,71,63,63,3
48,103,56,37,51,2
49,88,68,53,63,2
50,99,64,47,51,1
51,61,37,27,51,1
52,42,39,25,63,1
53,57,46,37,63,1
54,89,75,35,3,1
55,93,91,30,3,1
56,80,71,55,63,2
57,109,94,52,51,1
58,89,40,29,51,2
59,93,79,47,63,1
60,108,84,46,51,1
61,109,69,60,63,2
62,87,57,47,63,1
63,74,70,49,63,2
64,80,57,29,51,1
65,65,60,55,63,2
66,78,72,24,3,1
67,73,51,29,51,1
68,101,58,49,51,1
69,107,66,37,51,1
70,68,66,47,63,1
71,78,65,63,63,1
72,93,50,30,51,1
73,73,38,35,51,3
74,95,67,61,63,1
75,104,63,51,51,1
76,120,94,61,63,2
77,89,78,24,3,2
78,77,63,58,63,1
79,59,56,36,63,1
80,99,61,37,51,1
81,119,40,39,51,1
82,57,50,49,63,1
83,112,51,30,51,1
84,83,73,30,3,1
85,95,72,72,63,2
86,85,43,31,51,2
87,64,35,22,51,1
88,70,66,55,63,2
89,77,67,53,63,2
90,91,70,33,3,1
91,81,73,49,63,1
92,58,53,51,63,1
93,63,54,41,63,1
94,94,76,33,3,1
95,87,69,67,63,1
96,84,82,56,63,2
97,64,56,26,3,1
98,55,36,34,63,1
99,104,79,40,51,1
