ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,100,60,40,1,1,0,0,1,1,2
1,89,67,34,1,1,0,0,1,1,1
2,92,80,38,1,1,0,0,0,0,2
3,90,81,24,1,1,0,0,0,0,2
4,84,52,38,1,1,0,0,1,1,1
5,77,54,46,1,1,1,1,1,1,1
6,90,49,33,1,1,0,0,1,1,1
7,78,45,27,1,1,0,0,1,1,1
8,76,57,28,1,1,0,0,0,0,3
9,102,38,27,1,1,0,0,1,1,1
10,55,45,39,1,1,1,1,1,1,2
11,115,78,29,1,1,0,0,0,0,2
12,98,58,53,1,1,1,1,1,1,3
13,75,64,44,1,1,1,1,1,1,1
14,61,57,20,1,1,0,0,0,0,4
15,94,92,78,1,1,1,1,1,1,2
16,114,58,42,1,1,0,0,1,1,1
17,98,67,27,1,1,0,0,0,0,1
18,85,79,45,1,1,1,1,1,1,3
19,111,49,22,1,1,0,0,0,0,4
20,76,44,32,1,1,0,0,1,1,2
21,114,61,48,1,1,0,0,1,1,2
22,81,45,36,1,1,0,0,1,1,1
23,96,76,29,1,1,0,0,0,0,3
24,54,52,34,1,1,1,1,1,1,3
25,82,76,34,1,1,0,0,0,0,3
26,99,86,28,1,1,0,0,0,0,1
27,113,49,43,1,1,0,0,1,1,1
28,64,37,34,1,1,1,1,1,1,3
29,96,91,22,1,1,0,0,0,0,2
30,69,58,28,1,1,0,0,0,0,1
31,68,53,45,1,1,1,1,1,1,2
32,82,54,26,1,1,0,0,0,0,2
33,99,79,35,1,1,0,0,0,0,1
34,96,60,56,1,1,1,1,1,1,1
35,60,37,25,1,1,0,0,1,1,2
36,70,52,43,1,1,1,1,1,1,1
37,71,41,39,1,1,1,1,1,1,1
38,109,63,43,1,1,0,0,1,1,3
39,79,73,49,1,1,1,1,1,1,1
40,65,29,27,1,1,0,0,1,1,1
41,86,69,31,1,1,0,0,0,0,1
42,80,71,46,1,1,1,1,1,1,1
43,104,77,45,1,1,0,0,1,1,2
44,117,96,61,1,1,1,1,1,1,1
45,117,64,43,1,1,0,0,1,1,2
46,67,38,38,1,1,1,1,1,1,3
47,113,39,36,1,1,0,0,1,1,1
48,89,64,32,1,1,0,0,0,0,2
49,89,76,61,1,1,1,1,1,1,2
50,95,72,62,1,1,1,1,1,1,1
51,93,80,53,1,1,1,1,1,1,3
52,95,69,52,1,1,1,1,1,1,2
53,57,47,43,1,1,1,1,1,1,1
54,110,86,30,1,1,0,0,0,0,3
55,94,47,39,1,1,0,0,1,1,2
56,95,67,43,1,1,0,0,1,1,3
57,77,70,45,1,1,1,1,1,1,1
58,105,87,65,1,1,1,1,1,1,1
59,73,51,46,1,1,1,1,1,1,1
60,95,66,58,1,1,1,1,1,1,2
61,75,74,29,1,1,0,0,0,0,3
62,93,69,50,1,1,1,1,1,1,4
63,71,48,48,1,1,1,1,1,1,1
64,95,61,59,1,1,1,1,1,1,1
65,75,56,40,1,1,1,1,1,1,2
66,102,63,55,1,1,1,1,1,1,2
67,49,46,21,1,1,0,0,0,0,1
68,74,71,70,1,1,1,1,1,1,2
69,77,75,67,1,1,1,1,1,1,3
