ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,109,68,64,1,1,1,1,1,1,1
1,84,58,55,1,1,1,1,1,1,4
2,96,83,24,1,1,0,0,0,0,4
3,74,67,37,1,1,0,0,1,1,2
4,107,73,70,1,1,1,1,1,1,2
5,80,73,54,1,1,1,1,1,1,2
6,72,41,33,1,1,0,0,1,1,1
7,84,79,74,1,1,1,1,1,1,4
8,40,37,20,1,1,0,0,1,1,7
9,74,73,42,1,1,1,1,1,1,5
10,55,48,33,1,1,1,1,1,1,3
11,109,74,70,1,1,1,1,1,1,4
12,107,44,39,1,1,0,0,1,1,3
13,99,51,47,1,1,0,0,1,1,3
14,80,62,38,1,1,0,0,1,1,5
15,46,43,37,1,1,1,1,1,1,6
16,94,69,36,1,1,0,0,1,1,3
17,98,64,48,1,1,0,0,1,1,4
18,99,91,70,1,1,1,1,1,1,4
19,113,76,52,1,1,0,0,1,1,1
20,62,52,24,1,1,0,0,0,0,2
21,99,86,61,1,1,1,1,1,1,4
22,113,95,40,1,1,0,0,0,0,3
23,117,88,60,1,1,1,1,1,1,3
24,67,48,36,1,1,1,1,1,1,3
25,103,91,58,1,1,1,1,1,1,2
26,88,51,37,1,1,0,0,1,1,4
27,106,63,59,1,1,1,1,1,1,3
28,98,64,61,1,1,1,1,1,1,7
29,88,80,48,1,1,1,1,1,1,2
