ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,75,73,69,1,1,1,1,1,1,1
1,66,56,40,1,1,1,1,1,1,1
2,64,51,41,1,1,1,1,1,1,1
3,90,52,28,1,1,0,0,1,1,1
4,73,33,28,1,1,0,0,1,1,1
5,91,76,60,1,1,1,1,1,1,2
6,54,45,28,1,1,1,1,1,1,2
7,107,81,56,1,1,1,1,1,1,2
8,63,53,44,1,1,1,1,1,1,2
9,88,75,50,1,1,1,1,1,1,1
10,79,76,20,1,1,0,0,0,0,2
11,116,71,66,1,1,1,1,1,1,1
12,84,52,35,1,1,0,0,1,1,4
13,61,56,22,1,1,0,0,0,0,1
14,54,53,31,1,1,1,1,1,1,3
15,86,85,53,1,1,1,1,1,1,3
16,84,71,29,1,1,0,0,0,0,2
17,80,52,41,1,1,1,1,1,1,1
18,83,33,26,1,1,0,0,1,1,1
19,99,60,38,1,1,0,0,1,1,1
20,83,47,37,1,1,0,0,1,1,1
21,50,41,36,1,1,1,1,1,1,2
22,43,40,40,1,1,1,1,1,1,1
23,87,73,43,1,1,0,0,1,1,3
24,81,60,49,1,1,1,1,1,1,1
25,57,56,49,1,1,1,1,1,1,2
26,57,34,23,1,1,0,0,1,1,2
27,94,89,47,1,1,0,0,1,1,1
28,79,52,34,1,1,0,0,1,1,1
29,87,60,36,1,1,0,0,1,1,1
30,103,48,39,1,1,0,0,1,1,1
31,71,68,45,1,1,1,1,1,1,1
32,95,69,67,1,1,1,1,1,1,2
33,107,95,33,1,1,0,0,0,0,3
34,90,73,55,1,1,1,1,1,1,2
35,90,58,39,1,1,0,0,1,1,2
36,89,79,36,1,1,0,0,0,0,3
37,110,74,56,1,1,1,1,1,1,2
38,55,30,27,1,1,0,0,1,1,1
39,44,44,43,1,1,1,1,1,1,3
40,82,45,41,1,1,0,0,1,1,2
41,105,47,46,1,1,0,0,1,1,4
42,38,35,32,1,1,1,1,1,1,2
43,82,60,45,1,1,1,1,1,1,2
44,89,88,60,1,1,1,1,1,1,1
45,71,50,40,1,1,1,1,1,1,2
46,63,46,32,1,1,1,1,1,1,1
47,86,82,28,1,1,0,0,0,0,2
48,114,56,34,1,1,0,0,1,1,1
49,66,66,59,1,1,1,1,1,1,2
50,84,45,36,1,1,0,0,1,1,5
51,95,48,20,1,1,0,0,0,0,2
52,60,35,21,1,1,0,0,1,1,1
53,60,25,20,1,1,0,0,1,1,2
54,69,46,35,1,1,1,1,1,1,6
55,82,66,43,1,1,1,1,1,1,1
56,50,34,33,1,1,1,1,1,1,1
57,105,45,29,1,1,0,0,1,1,1
58,104,98,50,1,1,0,0,1,1,1
59,79,78,22,1,1,0,0,0,0,1
60,80,62,36,1,1,0,0,1,1,2
61,67,35,31,1,1,0,0,1,1,1
62,77,42,25,1,1,0,0,1,1,2
63,78,31,30,1,1,0,0,1,1,2
64,44,34,30,1,1,1,1,1,1,1
65,110,75,54,1,1,0,0,1,1,2
66,108,86,65,1,1,1,1,1,1,1
67,73,48,44,1,1,1,1,1,1,1
68,100,39,30,1,1,0,0,1,1,2
69,78,60,44,1,1,1,1,1,1,2
70,100,65,41,1,1,0,0,1,1,2
71,82,73,56,1,1,1,1,1,1,1
72,85,57,54,1,1,1,1,1,1,1
73,84,56,42,1,1,0,0,1,1,3
74,77,77,37,1,1,0,0,0,0,3
75,91,73,48,1,1,1,1,1,1,2
76,53,47,40,1,1,1,1,1,1,2
77,108,75,38,1,1,0,0,1,1,3
78,106,53,32,1,1,0,0,1,1,1
79,76,75,69,1,1,1,1,1,1,3
