ID,X,Y,Z,ROTATIONS,COPIES
0,113,92,33,3,2
1,52,37,28,63,1
2,57,33,29,63,1
3,99,37,30,51,1
4,92,64,33,51,1
5,119,59,39,51,1
6,54,52,49,63,1
7,75,45,35,51,1
8,79,68,44,63,2
9,116,49,47,51,1
10,83,44,23,51,1
11,98,96,56,63,1
12,78,72,57,63,1
13,98,88,47,51,1
14,41,33,31,63,2
15,59,35,34,63,1
16,83,78,37,3,1
17,68,34,33,51,3
18,103,69,49,51,1
19,97,53,32,51,2
20,92,63,50,63,1
21,108,57,40,51,1
22,62,60,58,63,1
23,101,46,25,51,1
24,99,53,36,51,2
25,67,67,55,63,1
26,99,46,38,51,1
27,103,80,79,63,2
28,91,69,32,3,1
29,71,63,33,51,1
30,95,54,36,51,1
31,72,51,34,51,2
32,64,35,32,51,1
33,78,77,55,63,1
34,76,50,41,63,1
35,116,97,53,51,1
36,91,25,24,51,1
37,83,56,35,51,1
38,40,26,23,63,2
39,117,52,39,51,2
40,90,81,40,3,2
41,98,94,75,63,2
42,62,57,50,63,2
43,119,84,80,63,1
44,75,60,60,63,1
45,59,42,34,63,1
46,76,74,51,63,1
47,95,65,39,51,2
48,100,91,70,63,1
49,81,40,26,51,2
50,93,83,47,63,1
51,116,77,66,63,1
52,108,97,59,63,1
53,77,48,30,51,1
54,86,51,35,51,1
55,61,44,42,63,1
56,90,67,51,63,1
57,67,41,41,63,1
58,80,30,30,51,1
59,69,51,38,63,2
60,94,92,47,51,1
61,118,98,22,3,1
62,69,49,27,51,1
63,97,91,39,3,1
64,93,79,54,63,1
65,88,59,33,51,1
66,116,67,37,51,1
67,97,35,28,51,1
68,87,71,41,51,2
69,77,54,44,63,1
70,47,40,32,63,1
71,97,80,43,51,1
72,96,75,57,63,1
73,111,60,32,51,1
74,96,79,69,63,2
75,67,64,60,63,1
76,90,75,45,51,1
77,91,60,47,63,1
78,78,68,29,3,2
79,67,39,35,63,1
80,98,55,37,51,2
81,89,45,20,3,2
82,118,96,48,3,1
83,108,44,28,51,1
84,49,47,30,63,1
85,80,79,47,63,1
86,81,79,63,63,1
87,77,63,20,3,1
88,119,60,48,51,1
89,98,66,29,3,1
90,99,60,48,51,1
91,72,54,39,63,1
92,39,26,26,63,1
93,49,43,36,63,1
94,100,90,33,3,2
95,79,78,29,3,1
96,90,81,80,63,2
97,71,52,32,51,1
98,118,69,23,3,1
99,109,65,35,51,1
