ID,X,Y,Z,ROTATIONS,COPIES
0,56,32,28,51,1
1,92,68,39,51,4
2,90,86,29,3,3
3,73,54,52,63,1
4,114,100,45,3,4
5,94,51,36,51,3
6,108,59,38,51,3
7,89,82,61,63,2
8,81,71,43,63,3
9,61,53,37,63,3
10,85,70,58,63,4
11,111,98,39,3,2
12,66,62,59,63,2
13,117,87,49,51,6
14,70,62,40,63,3
15,36,30,30,63,6
16,80,62,57,63,4
17,73,72,54,63,1
18,89,67,41,51,3
19,82,51,38,51,5
20,110,47,42,51,1
21,82,61,35,51,6
22,102,100,62,63,3
23,91,50,42,51,6
24,74,62,38,63,3
25,66,61,50,63,3
26,84,67,44,63,3
27,78,56,56,63,2
28,64,53,52,63,3
29,39,33,30,63,5
30,55,38,29,63,2
31,76,69,46,63,2
32,115,44,26,51,3
33,75,39,30,51,2
34,77,73,31,3,7
35,67,63,56,63,3
36,99,87,56,63,4
37,109,55,41,51,1
38,88,75,30,3,3
39,63,38,32,63,3
