ID,X,Y,Z,ROTATIONS,COPIES
0,84,81,23,3,1
1,115,72,64,63,2
2,77,49,25,51,1
3,40,37,22,63,1
4,97,96,46,3,3
5,95,43,25,51,1
6,90,69,28,3,3
7,56,51,49,63,1
8,118,93,80,63,1
9,56,47,41,63,1
10,78,71,27,3,1
11,88,62,41,51,2
12,87,53,21,3,2
13,105,47,28,51,1
14,103,68,65,63,1
15,67,64,31,3,1
16,83,37,27,51,1
17,44,31,29,63,1
18,91,69,49,63,4
19,90,61,42,51,1
20,82,81,30,3,1
21,96,67,40,51,1
22,70,55,47,63,1
23,46,37,34,63,1
24,112,76,58,63,1
25,79,41,23,51,1
26,45,43,43,63,2
27,104,74,32,3,1
28,66,43,43,63,1
29,112,79,49,51,1
30,116,98,36,3,1
31,60,56,39,63,1
32,93,87,31,3,2
33,91,88,40,3,2
34,115,72,28,3,1
35,105,67,63,63,1
36,87,86,78,63,1
37,57,44,33,63,1
38,76,46,23,3,1
39,102,92,72,63,1
40,116,79,74,63,1
41,56,54,26,3,1
42,108,74,36,3,1
43,99,82,36,3,1
44,97,31,31,51,2
45,119,77,53,51,1
46,88,55,54,63,1
47,103,100,72,63,1
48,70,55,53,63,1
49,89,77,75,63,2
50,74,34,28,51,1
51,59,41,27,51,1
52,84,73,48,63,1
53,75,68,40,63,1
54,98,64,36,51,1
55,74,28,26,51,4
56,89,73,57,63,1
57,75,66,52,63,1
58,78,44,42,63,2
59,87,77,47,63,1
60,40,40,32,63,1
61,60,38,30,51,1
62,103,84,71,63,2
63,96,90,50,63,1
64,84,54,44,63,1
65,97,96,24,3,1
66,73,41,23,51,1
67,79,60,27,3,2
68,95,50,32,51,1
69,115,71,64,63,1
70,81,69,66,63,1
71,68,59,42,63,1
72,88,67,38,51,2
73,75,74,34,3,2
74,56,49,34,63,1
75,48,27,26,63,1
76,80,67,33,3,2
77,104,39,24,51,1
78,69,49,49,63,1
79,112,71,34,3,1
80,73,66,60,63,2
81,83,78,61,63,1
82,95,47,25,51,1
83,100,78,35,3,2
84,108,70,67,63,2
85,96,71,64,63,2
86,65,63,25,3,1
87,107,51,42,51,2
88,99,63,39,51,1
89,41,38,35,63,1
