ID,X,Y,Z,ROTATIONS,COPIES
0,114,54,20,3,1
1,92,87,50,63,2
2,114,43,26,51,2
3,93,69,42,51,3
4,80,79,64,63,2
5,99,80,29,3,1
6,60,54,47,63,2
7,54,53,32,63,2
8,113,75,68,63,2
9,67,66,49,63,1
10,65,30,21,51,1
11,110,63,29,3,1
12,75,60,27,3,1
13,95,71,40,51,2
14,92,74,67,63,1
15,55,43,38,63,2
16,105,32,31,51,4
17,90,81,46,63,1
18,90,60,38,51,1
19,77,42,22,51,2
20,81,72,32,3,3
21,99,94,20,3,4
22,97,68,49,63,1
23,38,37,31,63,2
24,118,65,32,3,3
25,91,81,35,3,2
26,114,56,49,51,2
27,97,86,58,63,2
28,94,83,38,3,3
29,64,39,25,51,1
30,111,70,57,63,1
31,69,58,47,63,1
32,75,57,46,63,1
33,89,67,40,51,2
34,96,74,21,3,1
35,67,47,23,3,2
36,115,68,20,3,2
37,56,40,20,3,1
38,96,63,46,51,1
39,68,67,67,63,2
40,85,41,31,51,3
41,101,90,36,3,2
42,102,65,64,63,1
43,70,57,46,63,2
44,65,53,49,63,1
45,114,58,36,51,2
46,120,81,26,3,2
47,79,72,56,63,2
48,71,46,25,51,3
49,88,66,53,63,2
50,88,62,40,51,4
51,85,79,71,63,2
52,106,54,30,51,1
53,65,58,23,3,2
54,90,65,58,63,1
55,69,64,23,3,2
56,83,76,39,51,2
57,114,44,42,51,2
58,110,64,41,51,1
59,100,50,48,51,2
60,72,69,56,63,3
61,60,51,27,51,2
62,67,26,26,51,1
63,114,82,53,51,2
64,91,81,56,63,1
65,115,54,36,51,5
66,80,80,55,63,2
67,71,58,39,63,2
68,49,30,29,63,1
69,96,67,27,3,2
