ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,119,34,28,1,1,0,0,1,1,6
1,84,69,48,1,1,1,1,1,1,4
2,97,82,78,1,1,1,1,1,1,3
3,109,43,33,1,1,0,0,1,1,5
4,80,75,47,1,1,1,1,1,1,1
5,74,62,30,1,1,0,0,0,0,6
6,40,35,31,1,1,1,1,1,1,5
7,58,43,26,1,1,0,0,1,1,5
8,111,73,71,1,1,1,1,1,1,6
9,95,66,43,1,1,0,0,1,1,7
10,96,82,28,1,1,0,0,0,0,6
11,84,73,66,1,1,1,1,1,1,4
12,62,42,38,1,1,1,1,1,1,4
13,108,91,58,1,1,1,1,1,1,4
14,96,81,25,1,1,0,0,0,0,2
15,42,35,31,1,1,1,1,1,1,4
16,75,54,30,1,1,0,0,1,1,5
17,117,50,33,1,1,0,0,1,1,5
18,115,68,49,1,1,0,0,1,1,6
19,105,66,60,1,1,1,1,1,1,4
20,50,45,38,1,1,1,1,1,1,9
21,79,50,34,1,1,0,0,1,1,5
22,72,36,35,1,1,0,0,1,1,2
23,74,57,37,1,1,0,0,1,1,6
24,72,66,63,1,1,1,1,1,1,6
25,86,62,29,1,1,0,0,0,0,3
26,91,70,34,1,1,0,0,0,0,6
27,55,35,29,1,1,1,1,1,1,5
28,64,54,25,1,1,0,0,0,0,1
29,97,82,50,1,1,1,1,1,1,1
