ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1850,74,25,4
1,2576,56,46,1
2,2829,41,69,1
3,3136,56,56,1
4,1785,51,35,2
5,1850,50,37,1
6,2604,42,62,2
7,1215,45,27,5
8,2820,47,60,1
9,2484,69,36,2
10,2146,29,74,2
11,1364,44,31,4
12,2173,53,41,1
13,2856,42,68,2
14,2950,50,59,2
15,3233,61,53,1
16,3312,46,72,2
17,3240,54,60,1
18,1829,31,59,1
19,3692,71,52,1
20,2244,33,68,1
21,2640,55,48,2
22,3420,60,57,1
23,2090,38,55,2
24,4026,66,61,1
25,3360,48,70,2
26,1881,57,33,3
27,4488,68,66,1
28,2698,38,71,2
29,1950,30,65,3
