        30       100       100
       858        26        33         2
      1056        32        33         3
      1496        44        34         1
      4899        71        69         1
      2592        36        72         2
      1664        26        64         3
      1666        34        49         1
      3776        64        59         1
      4761        69        69         1
      3245        59        55         1
      3660        60        61         1
      1710        30        57         2
      2584        68        38         1
      1914        29        66         3
      2736        57        48         1
      1054        34        31         5
      2967        43        69         1
      2065        59        35         2
      2660        70        38         2
      1230        30        41         4
      1829        59        31         1
      2301        59        39         2
      4884        66        74         1
      3055        47        65         1
      1400        50        28         5
      2646        49        54         2
      2077        31        67         1
      1792        64        28         1
      2156        44        49         4
      1000        40        25         6
