        30       100       100
       864        32        27         4
       420        12        35         2
       100        10        10        28
       340        20        17         5
      1599        41        39         4
      1640        40        41         1
      1155        33        35         2
      1376        43        32         5
       612        18        34         6
      1584        36        44         2
       957        33        29         5
       540        15        36         2
       286        22        13        28
      1536        48        32         6
       630        35        18         8
       585        13        45        12
       406        14        29        17
       464        16        29         1
       336        16        21        20
       600        24        25        13
       629        17        37         9
       832        26        32         7
      1120        35        32         3
       616        14        44        13
       957        29        33         9
       208        13        16        11
       703        37        19         5
       210        15        14        26
       495        15        33         3
       525        35        15         6
