        30       100       100
       608        16        38         6
       308        22        14        23
       525        15        35         1
       430        43        10        17
      1410        30        47         3
      1075        25        43         3
      1085        31        35         6
      1216        32        38         2
       192        12        16        41
       882        18        49         8
       493        17        29        13
      1225        49        25         2
       760        19        40         1
       690        23        30        12
      1081        47        23         7
      1260        28        45         2
       792        44        18         6
       315        15        21        18
       882        42        21         8
       525        35        15         8
       874        23        38         6
      1269        47        27         5
      1980        44        45         1
      1050        30        35         1
      1023        31        33         7
      1035        45        23         1
      1512        36        42         2
      1008        24        42         1
      1380        30        46         5
       667        23        29         7
