ID,WIDTH,HEIGHT,GROUP
0,3,22,0
1,4,35,1
2,4,3,2
3,3,5,3
4,12,10,3
5,4,28,4
6,4,4,4
7,40,13,5
8,9,11,5
9,8,10,5
10,16,5,6
11,4,29,6
12,7,50,6
13,4,21,7
14,3,4,8
15,5,11,8
16,20,4,9
17,4,3,10
18,17,6,11
19,3,4,12
20,3,5,13
21,3,4,14
22,3,5,15
23,8,20,15
24,3,15,15
25,3,3,15
26,16,5,15
27,37,3,16
28,13,43,17
29,7,3,18
30,8,6,19
31,9,3,19
32,4,4,20
33,23,4,21
34,4,4,22
35,7,4,23
36,3,9,24
37,7,35,25
38,34,11,26
39,4,7,27
40,4,5,27
41,3,10,28
42,4,3,29
43,23,35,29
44,3,5,29
45,3,7,30
46,3,11,31
47,20,3,31
48,9,24,31
49,3,3,31
50,11,8,32
51,5,8,32
52,3,4,32
53,3,14,32
54,3,12,33
55,12,6,33
56,3,3,33
57,23,4,34
58,18,4,34
59,10,3,35
60,5,16,36
61,4,5,36
62,10,6,37
63,4,5,38
64,37,15,38
65,4,4,38
66,3,4,39
67,23,34,40
68,10,6,40
69,11,8,40
70,4,3,41
71,12,4,41
72,3,5,41
73,5,20,41
74,20,5,42
75,4,5,43
76,4,5,44
77,11,19,45
78,7,6,46
79,4,4,47
