        20       100       100
      1760        55        32         3
      2992        44        68         2
      2666        62        43         1
      2294        31        74         3
      2736        57        48         2
      4270        61        70         1
      1800        72        25         1
      2640        55        48         1
      2806        46        61         1
      1736        31        56         2
      2470        65        38         1
      1863        69        27         3
      1885        29        65         2
      3192        56        57         1
      2142        34        63         1
      1932        28        69         1
      1920        48        40         3
      4680        72        65         1
      3196        47        68         2
      1848        33        56         1
