ID,WIDTH,HEIGHT,GROUP
0,45,19,0
1,22,8,1
2,55,28,2
3,16,51,3
4,33,11,4
5,30,11,4
6,37,102,5
7,10,8,5
8,109,16,6
9,22,5,6
10,54,27,7
11,60,9,7
12,14,9,8
13,11,37,8
14,46,15,9
15,17,13,9
16,5,2,9
17,22,92,10
18,51,75,10
19,19,8,10
20,17,3,11
21,56,18,12
22,20,28,13
23,12,45,14
24,36,56,15
25,27,23,15
26,37,32,15
27,32,18,15
28,41,6,16
29,40,18,16
30,15,32,17
31,27,18,18
32,18,11,18
33,7,29,18
34,13,10,19
35,31,12,20
36,7,42,21
37,71,38,22
38,50,37,23
39,25,5,23
40,35,46,24
41,31,20,24
42,12,15,25
43,5,30,26
44,25,11,26
45,36,10,26
46,76,35,27
47,5,26,27
48,32,13,28
