ID,WIDTH,HEIGHT,GROUP
0,44,8,0
1,57,21,1
2,2,7,1
3,41,82,2
4,32,81,2
5,13,5,3
6,7,2,3
7,46,34,4
8,13,29,5
9,4,3,6
10,105,22,7
11,29,6,8
12,27,18,9
13,10,45,10
14,6,31,11
15,36,21,11
16,18,5,11
17,28,13,11
18,57,24,12
19,58,20,12
20,14,59,13
21,14,10,14
22,13,25,14
23,54,23,14
24,7,19,15
25,13,10,15
26,9,9,15
27,8,15,16
28,39,74,16
29,11,11,16
30,46,24,17
31,25,102,18
32,25,18,18
33,8,8,18
34,19,19,19
35,25,105,20
36,26,21,21
37,20,15,22
38,64,13,22
39,51,52,22
40,58,11,23
41,13,25,24
42,77,25,24
43,14,74,24
44,4,9,24
45,6,6,25
46,27,18,26
47,6,28,27
48,17,57,28
