        50       100       100
       304        16        19        18
       338        13        26         9
       330        33        10        21
      1872        39        48         1
      1170        45        26         2
       455        35        13        12
      1023        33        31         5
       630        21        30         7
       615        15        41        11
      1035        23        45         7
       209        19        11        44
       980        49        20         4
       476        28        17        15
      1271        41        31         6
       450        15        30        17
      1029        21        49         5
       310        10        31        28
      1320        40        33         5
      1170        45        26         3
       462        33        14        14
       432        12        36        12
       494        38        13         9
       330        30        11        23
       434        14        31         4
       528        22        24         6
       738        18        41        10
      1591        43        37         1
      1496        44        34         2
       450        18        25         5
      1715        35        49         3
      1104        24        46         3
      2209        47        47         3
      1155        35        33         2
       432        18        24        14
       330        30        11         1
      1221        33        37         2
       798        19        42         7
       658        47        14         2
      1312        41        32         5
      1800        40        45         4
       345        15        23        17
       684        19        36         1
       578        34        17         5
       612        34        18         1
       756        28        27         9
       684        18        38         2
       612        36        17         9
      1305        45        29         5
       861        21        41         5
       686        49        14        10
