        50       100       100
       598        13        46         1
       756        42        18         5
      1320        33        40         5
       624        16        39        11
       480        32        15        18
      1677        43        39         2
       936        24        39         8
       480        12        40        11
       768        24        32        12
       250        10        25        18
       363        11        33         3
       690        30        23        12
       800        25        32        11
       759        33        23         7
       675        45        15        12
       660        22        30         5
       893        47        19         9
       444        12        37        16
       377        29        13        15
       874        38        23         6
       320        16        20        25
      1776        48        37         1
      1020        30        34         1
      1911        39        49         3
       156        12        13        52
       459        17        27         7
       945        35        27         3
      1462        34        43         2
       450        30        15        11
      1248        32        39         5
       868        31        28         7
       750        25        30        10
      1305        45        29         6
       690        30        23         4
       611        13        47         8
       902        22        41         7
       660        20        33         1
       688        43        16        11
      1599        39        41         2
       504        36        14         1
       640        40        16         5
       738        18        41         4
       783        27        29         9
       594        18        33        11
      1444        38        38         3
       598        46        13         8
      1044        36        29         2
       299        23        13        28
       903        21        43         6
      1258        37        34         3
