        50       100       100
       728        26        28         1
      1296        48        27         4
       675        27        25         3
       510        34        15         3
      1140        30        38         1
       420        10        42         4
       196        14        14         3
       286        26        11         1
      1645        35        47         2
       225        15        15         4
       264        11        24         3
      1376        43        32         2
       392        14        28         3
      1813        49        37         3
       286        13        22         2
      1305        45        29         1
       780        30        26         4
      1564        34        46         1
      1274        26        49         3
      1170        45        26         3
       588        49        12         4
       910        26        35         4
       943        41        23         1
      1058        23        46         2
       403        13        31         1
       817        43        19         1
       528        44        12         2
      1426        31        46         4
       645        15        43         2
      1421        49        29         4
       748        34        22         3
       672        48        14         3
      1710        45        38         1
       882        21        42         3
       780        20        39         4
       713        31        23         4
      1032        43        24         2
      1200        25        48         4
       940        47        20         1
      1050        35        30         3
      1260        35        36         1
       528        12        44         2
      2160        45        48         1
       255        17        15         3
       360        10        36         4
       784        16        49         1
       986        34        29         3
       360        15        24         4
      2009        41        49         1
      1176        28        42         4
