        30       100       100
      4420        65        68         1
      2444        52        47         1
       702        27        26         1
      1624        28        58         1
      2508        66        38         1
      2565        57        45         1
      2870        41        70         1
       858        33        26         1
      3136        49        64         1
      3922        74        53         1
      1640        41        40         1
      2220        37        60         1
      2520        72        35         1
      1392        48        29         1
      1430        26        55         1
      3124        44        71         1
      1653        57        29         1
       884        34        26         1
      2146        58        37         1
       900        36        25         1
      1190        35        34         1
      1872        26        72         1
      2016        48        42         1
       756        28        27         1
      3055        47        65         1
      1525        61        25         1
      1581        31        51         1
      3108        42        74         1
       900        25        36         1
      2035        37        55         1
