        30       100       100
      3339        63        53         1
      3240        72        45         1
      4416        69        64         1
      3905        55        71         1
      2774        73        38         1
      1269        27        47         1
      2196        61        36         1
      3233        53        61         1
      2774        38        73         1
      4757        71        67         1
      1232        44        28         1
      3640        52        70         1
      2856        68        42         1
      2162        47        46         1
      3626        74        49         1
      4047        71        57         1
      2176        34        64         1
      1316        47        28         1
      2430        54        45         1
      2144        67        32         1
      2520        56        45         1
      1247        43        29         1
      1260        36        35         1
      3599        61        59         1
       928        32        29         1
      1560        40        39         1
      2544        53        48         1
      2808        39        72         1
      2806        61        46         1
      1591        37        43         1
