ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1932,42,46,1
1,476,34,14,1
2,455,35,13,1
3,644,46,14,1
4,1410,47,30,1
5,731,43,17,1
6,330,11,30,1
7,1935,43,45,1
8,1568,49,32,1
9,330,15,22,1
10,1710,38,45,1
11,352,22,16,1
12,1312,41,32,1
13,756,36,21,1
14,1786,47,38,1
15,990,45,22,1
16,528,12,44,1
17,416,16,26,1
18,484,44,11,1
19,418,11,38,1
20,1320,30,44,1
21,1247,29,43,1
22,720,16,45,1
23,195,13,15,1
24,216,18,12,1
25,437,23,19,1
26,595,17,35,1
27,828,23,36,1
28,442,17,26,1
29,650,26,25,1
30,442,13,34,1
31,352,32,11,1
32,945,35,27,1
33,555,37,15,1
34,1170,39,30,1
35,1806,43,42,1
36,1960,49,40,1
37,756,18,42,1
38,406,29,14,1
39,1326,34,39,1
40,858,39,22,1
41,496,16,31,1
42,1764,36,49,1
43,255,17,15,1
44,1056,22,48,1
45,444,12,37,1
46,752,47,16,1
47,702,27,26,1
48,1012,22,46,1
49,660,30,22,1
