ID,PROFIT,WIDTH,HEIGHT,COPIES
0,780,30,26,1
1,1332,37,36,1
2,504,24,21,1
3,560,14,40,1
4,266,14,19,1
5,897,23,39,1
6,936,39,24,1
7,611,47,13,1
8,589,19,31,1
9,330,30,11,1
10,1380,30,46,1
11,1258,37,34,1
12,1066,26,41,1
13,540,30,18,1
14,168,14,12,1
15,1927,47,41,1
16,420,20,21,1
17,924,28,33,1
18,558,18,31,1
19,340,17,20,1
20,120,12,10,1
21,1932,46,42,1
22,1428,34,42,1
23,1472,46,32,1
24,1230,41,30,1
25,468,36,13,1
26,384,16,24,1
27,612,36,17,1
28,247,19,13,1
29,1804,44,41,1
30,275,25,11,1
31,1170,39,30,1
32,1560,40,39,1
33,1386,33,42,1
34,264,12,22,1
35,490,49,10,1
36,1152,48,24,1
37,702,26,27,1
38,1080,24,45,1
39,160,10,16,1
40,120,12,10,1
41,1554,37,42,1
42,143,13,11,1
43,1632,34,48,1
44,270,18,15,1
45,1680,42,40,1
46,468,26,18,1
47,1505,35,43,1
48,1632,34,48,1
49,330,11,30,1
