ID,PROFIT,WIDTH,HEIGHT,COPIES
0,680,40,17,1
1,1638,39,42,1
2,1000,25,40,1
3,624,39,16,1
4,630,42,15,1
5,1116,31,36,1
6,2064,48,43,1
7,615,15,41,1
8,1776,37,48,1
9,1008,21,48,1
10,1560,39,40,1
11,1269,27,47,1
12,940,47,20,1
13,999,27,37,1
14,720,45,16,1
15,920,20,46,1
16,805,23,35,1
17,504,18,28,1
18,342,18,19,1
19,308,28,11,1
20,190,10,19,1
21,2254,49,46,1
22,1848,44,42,1
23,460,10,46,1
24,832,26,32,1
25,1215,45,27,1
26,924,44,21,1
27,1218,42,29,1
28,180,10,18,1
29,1575,35,45,1
30,1482,38,39,1
31,348,12,29,1
32,1960,49,40,1
33,1102,38,29,1
34,1372,28,49,1
35,1440,45,32,1
36,875,25,35,1
37,308,11,28,1
38,1680,40,42,1
39,945,21,45,1
40,408,34,12,1
41,680,34,20,1
42,697,41,17,1
43,504,21,24,1
44,255,17,15,1
45,714,42,17,1
46,1470,42,35,1
47,759,33,23,1
48,1702,37,46,1
49,1722,41,42,1
