ID,WIDTH,HEIGHT,GROUP
0,7,24,0
1,4,24,0
2,18,6,0
3,19,18,0
4,10,5,0
5,8,9,1
6,12,8,2
7,17,3,2
8,19,10,2
9,12,15,2
10,12,3,2
11,18,3,3
12,17,4,3
13,6,8,3
14,6,2,4
15,7,2,5
16,28,4,5
17,12,2,5
18,7,3,5
19,5,4,6
20,7,5,6
21,2,12,6
22,4,2,7
23,11,9,7
24,3,3,7
25,7,18,8
26,10,11,9
27,2,10,9
28,4,16,10
29,4,18,10
30,5,3,10
31,6,7,11
32,11,7,12
33,20,5,13
34,7,4,14
35,17,8,14
36,10,3,14
37,12,14,15
38,6,14,15
39,10,6,15
40,10,5,15
41,8,7,16
42,21,4,16
43,7,16,17
44,3,8,17
45,2,4,17
46,10,16,18
47,7,3,18
48,2,8,18
