ID,WIDTH,HEIGHT,LEFT_TRIM,LEFT_TRIM_TYPE,RIGHT_TRIM,RIGHT_TRIM_TYPE,BOTTOM_TRIM,BOTTOM_TRIM_TYPE,TOP_TRIM,TOP_TRIM_TYPE
0,3210,2250,0,0,0,0,0,0,0,0
1,3210,2250,0,0,0,0,0,0,0,0
2,3210,2250,0,0,0,0,0,0,0,0
3,3210,2250,0,0,0,0,0,0,0,0
4,3210,2250,0,0,0,0,0,0,0,0
5,3210,2250,0,0,0,0,0,0,0,0
6,3210,2250,0,0,0,0,0,0,0,0
7,3210,2250,0,0,0,0,0,0,0,0
8,3210,2250,0,0,0,0,0,0,0,0
9,3210,2250,0,0,0,0,0,0,0,0
10,3210,2250,0,0,0,0,0,0,0,0
11,3210,2250,0,0,0,0,0,0,0,0
12,3210,2250,0,0,0,0,0,0,0,0
13,3210,2250,0,0,0,0,0,0,0,0
14,3210,2250,0,0,0,0,0,0,0,0
15,3210,2250,0,0,0,0,0,0,0,0
16,3210,2250,0,0,0,0,0,0,0,0
17,3210,2250,0,0,0,0,0,0,0,0
18,3210,2250,0,0,0,0,0,0,0,0
19,3210,2250,0,0,0,0,0,0,0,0
20,3210,2250,0,0,0,0,0,0,0,0
