250
500000
332864	6
332846	6
332655	14
328500	1
327113	18
326457	4
323835	14
322623	17
322144	13
321878	1
321816	13
320748	8
319720	15
319330	11
316914	19
316818	20
316102	3
315699	19
314728	13
313856	18
313399	7
313194	3
310771	16
310554	13
310448	1
310339	13
307147	5
307146	1
306804	13
306236	16
304800	1
304136	17
304022	12
301596	2
301272	18
297013	5
295633	8
295497	1
295389	14
293348	17
293084	18
292565	10
292493	8
291596	1
291093	17
290248	3
287143	19
286607	2
286054	10
285552	14
285179	15
282489	4
279468	16
278947	8
278751	11
278262	18
278173	19
275364	18
273876	19
273285	9
270649	5
270177	5
268566	13
266052	13
265498	1
261837	9
260802	3
260715	9
260530	10
260340	1
260224	19
259536	7
257960	10
257490	5
256117	19
255144	11
254357	14
254160	6
253146	5
252965	11
252636	20
252457	1
250036	2
249743	10
249613	10
248775	4
248540	6
246078	1
242577	1
242555	18
241225	17
240293	2
239638	12
239442	9
239405	14
238375	6
236530	13
235235	3
230534	14
230436	10
229727	13
228248	2
225809	9
225169	8
225122	4
223309	13
222473	10
222022	8
221637	13
219682	9
217405	8
214039	6
213630	16
211884	4
211759	18
211643	14
211203	10
210609	16
210109	1
209678	19
209404	17
208601	7
207321	9
206592	17
205499	9
205402	18
204849	9
204446	5
200954	16
200770	5
200444	18
197421	2
196277	17
196184	9
195007	10
194734	10
193956	15
193472	13
192728	6
191902	14
188626	16
188608	7
188529	17
186686	17
184796	19
181920	6
181829	4
180961	18
180731	4
178294	11
177945	10
177895	10
170784	8
168803	13
167892	7
166885	11
164467	4
163220	1
163141	12
162727	11
161934	18
161850	20
161730	13
160113	11
159254	19
158370	16
155519	18
154385	20
153263	6
152902	19
151032	11
149894	17
148423	4
145617	13
143463	2
142330	19
142323	18
141909	4
139559	11
139023	12
138861	10
137357	15
137336	9
135898	5
135395	20
133976	16
133514	18
133329	12
132697	20
132614	18
132213	17
130756	3
129028	13
128530	17
126848	1
124262	8
123441	12
122712	2
122588	1
122021	16
120669	7
118007	1
117025	20
115064	4
114768	2
109375	9
108358	11
108276	12
107220	20
104424	7
104188	5
102879	16
102492	3
102467	3
101673	17
101468	9
99655	17
99634	14
99431	6
99178	17
98393	10
96174	8
94859	9
92280	8
92242	20
91896	10
91719	11
91654	13
90778	10
89909	19
89285	20
87595	1
86494	16
86150	8
83557	8
80440	20
80320	14
77522	7
77194	6
75719	5
75705	11
75320	4
73885	2
72960	16
72867	16
72419	5
71456	14
70753	1
68531	2
68178	7
