125
1500000
997355	18
994354	11
980037	12
978721	18
974793	7
953663	8
946871	14
924945	11
921452	2
920536	17
903211	11
897182	13
883865	10
880853	5
866675	19
862591	13
860496	2
839101	13
836741	9
824009	5
822097	11
813448	10
812790	15
801606	2
798392	20
797305	5
796183	13
787178	13
764709	2
762571	19
758438	6
753718	2
736397	5
732722	15
728354	18
723309	19
714580	1
696341	5
689956	13
687505	3
666555	2
666222	20
661045	20
644907	18
644442	10
632396	7
627782	9
627570	18
627279	16
612664	20
612171	9
609393	8
600672	17
574746	1
571676	19
567242	13
566357	4
545358	7
543277	16
541008	17
526268	11
519778	9
493293	15
486529	15
485976	20
484819	15
484233	19
468854	15
464316	13
453482	20
441521	6
438403	18
437303	12
432635	5
429393	15
428889	12
424014	7
413094	8
409242	13
407888	4
393901	2
388931	12
388308	13
370047	6
368052	18
363437	18
351642	15
349702	1
333194	15
308977	19
303723	13
292928	19
259378	19
256925	14
251323	10
249596	11
248728	15
242642	1
241814	4
239132	5
235401	20
223936	15
211753	5
211567	18
183632	4
178618	3
162821	11
159524	11
151442	2
127920	18
120643	4
98848	10
81049	7
79433	18
77786	11
69307	3
68557	9
63951	14
62977	5
58840	14
56170	16
52672	10
29783	13
17867	4
10129	10
