1000 2000 150
197 584 115048 2
291 380 110580 4
163 298 48574 4
305 637 194285 2
220 584 128480 2
174 298 51852 2
225 656 147600 4
117 691 80847 1
65 739 48035 1
154 327 50358 1
224 272 60928 1
80 292 23360 1
450 681 306450 1
200 322 64400 1
95 319 30305 1
181 276 49956 1
146 215 31390 1
155 238 36890 1
133 218 28994 1
204 453 92412 1
143 285 40755 1
153 532 81396 2
114 237 27018 2
173 220 38060 1
283 450 127350 2
130 436 56680 2
76 226 17176 1
139 597 82983 2
138 338 46644 1
141 189 26649 2
127 548 69596 6
141 512 72192 2
125 281 35125 3
148 666 98568 1
210 623 130830 1
351 432 151632 1
270 722 194940 1
147 552 81144 1
149 733 109217 1
125 181 22625 1
219 390 85410 1
338 639 215982 1
283 593 167819 6
320 331 105920 2
299 370 110630 4
329 616 202664 6
248 334 82832 4
302 614 185428 2
226 618 139668 3
450 622 279900 3
357 388 138516 2
407 643 261701 8
231 609 140679 2
197 280 55160 6
293 682 199826 4
341 633 215853 2
304 631 191824 2
272 578 157216 1
219 348 76212 1
126 246 30996 2
361 635 229235 1
425 604 256700 1
417 672 280224 2
385 724 278740 2
475 665 315875 2
269 665 178885 3
334 598 199732 2
283 655 185365 2
326 572 186472 2
470 581 273070 2
222 256 56832 2
263 619 162797 4
400 642 256800 4
261 686 179046 6
287 262 75194 2
324 629 203796 6
264 415 109560 2
226 311 70286 8
309 672 207648 2
206 696 143376 2
235 623 146405 2
383 559 214097 2
309 645 199305 2
297 580 172260 2
257 341 87637 2
314 673 211322 2
281 324 91044 2
252 301 75852 2
146 311 45406 2
171 321 54891 2
230 288 66240 2
326 560 182560 2
525 752 394800 2
511 628 320908 2
439 738 323982 2
451 684 308484 2
388 689 267332 2
266 719 191254 2
391 602 235382 2
292 625 182500 4
217 271 58807 2
287 727 208649 4
253 256 64768 6
349 614 214286 2
330 608 200640 2
309 632 195288 2
309 341 105369 2
304 486 147744 2
233 491 114403 2
174 280 48720 2
344 541 186104 2
338 624 210912 8
208 642 133536 2
97 243 23571 1
125 389 48625 3
186 219 40734 1
125 159 19875 1
89 119 10591 1
146 395 57670 2
234 763 178542 1
79 728 57512 2
214 728 155792 1
161 402 64722 8
141 559 78819 2
225 553 124425 1
166 344 57104 2
176 277 48752 2
312 395 123240 2
166 295 48970 6
155 428 66340 4
203 468 95004 2
165 523 86295 3
181 517 93577 2
178 548 97544 2
169 312 52728 6
139 436 60604 2
140 439 61460 2
136 427 58072 2
135 419 56565 2
172 406 69832 2
176 412 72512 4
192 628 120576 1
169 334 56446 2
175 327 57225 2
144 571 82224 6
184 326 59984 2
174 381 66294 6
206 401 82606 4
178 455 80990 4
166 455 75530 2
