500 1000 100
173 357 61761 2
173 309 53457 4
130 148 19240 2
128 323 41344 2
176 353 62128 4
144 356 51264 2
141 168 23688 2
121 120 14520 2
197 327 64419 4
149 168 25032 2
123 175 21525 4
80 133 10640 2
168 299 50232 2
130 333 43290 6
218 349 76082 2
225 356 80100 2
88 107 9416 2
226 232 52432 8
183 198 36234 6
152 202 30704 34
92 99 9108 2
94 106 9964 2
180 195 35100 4
132 164 21648 2
61 144 8784 4
56 161 9016 2
203 331 67193 1
165 322 53130 4
114 307 34998 1
113 301 34013 6
152 352 53504 2
124 126 15624 6
169 319 53911 3
106 164 17384 4
147 341 50127 4
120 357 42840 4
112 147 16464 2
203 322 65366 2
143 314 44902 2
128 349 44672 2
83 139 11537 8
166 308 51128 8
253 367 92851 2
154 308 47432 1
181 349 63169 1
118 311 36698 2
147 325 47775 4
100 114 11400 2
194 231 44814 2
119 324 38556 2
112 159 17808 2
109 181 19729 2
194 228 44232 2
113 342 38646 2
193 235 45355 2
161 216 34776 2
139 361 50179 2
104 180 18720 2
107 194 20758 2
100 368 36800 4
156 301 46956 2
102 178 18156 2
156 347 54132 2
92 143 13156 2
149 358 53342 2
149 150 22350 2
123 146 17958 2
117 144 16848 2
172 285 49020 2
146 341 49786 2
120 288 34560 2
91 312 28392 2
90 124 11160 2
120 141 16920 2
190 229 43510 2
166 200 33200 2
129 305 39345 2
128 340 43520 8
104 305 31720 16
128 198 25344 1
134 288 38592 1
133 169 22477 3
117 377 44109 1
94 314 29516 4
127 169 21463 2
114 188 21432 1
138 181 24978 1
116 256 29696 1
81 110 8910 2
97 182 17654 2
90 202 18180 2
62 180 11160 2
163 204 33252 2
144 311 44784 1
127 282 35814 1
96 185 17760 2
102 171 17442 1
133 192 25536 2
118 147 17346 4
150 319 47850 2
